frame,widget_key,renderer,call_index,duration_ms,width,height,cache_hit_if_known
32,fit_distance_text,bar,0,0.8053,2324,199,0
32,iso_text,text,1,0.0245,140,51,1
32,exposure_text,text,2,0.0129,144,51,1
32,temp_text,text,3,0.0116,114,51,1
32,alt_text,bar,4,0.8933,337,213,0
33,fit_distance_text,bar,0,0.861,2324,199,0
33,iso_text,text,1,0.0605,140,51,1
33,exposure_text,text,2,0.0141,144,51,1
33,temp_text,text,3,0.0118,114,51,1
33,alt_text,bar,4,0.9123,337,213,0
34,fit_distance_text,bar,0,0.8421,2324,199,0
34,iso_text,text,1,0.0227,140,51,1
34,exposure_text,text,2,0.013,144,51,1
34,temp_text,text,3,0.0116,114,51,1
34,alt_text,bar,4,0.938,337,213,0
35,fit_distance_text,bar,0,0.8754,2324,199,0
35,iso_text,text,1,0.0222,140,51,1
35,exposure_text,text,2,0.0132,144,51,1
35,temp_text,text,3,0.0116,114,51,1
35,alt_text,bar,4,0.8039,337,213,0
36,fit_distance_text,bar,0,0.8602,2324,199,0
36,iso_text,text,1,0.0222,140,51,1
36,exposure_text,text,2,0.0129,144,51,1
36,temp_text,text,3,0.0116,114,51,1
36,alt_text,bar,4,0.8147,337,213,0
37,fit_distance_text,bar,0,0.8899,2324,199,0
37,iso_text,text,1,0.0231,140,51,1
37,exposure_text,text,2,0.0132,144,51,1
37,temp_text,text,3,0.0116,114,51,1
37,alt_text,bar,4,0.8729,337,213,0
38,fit_distance_text,bar,0,0.9012,2324,199,0
38,iso_text,text,1,0.0278,140,51,1
38,exposure_text,text,2,0.027,144,51,1
38,temp_text,text,3,0.0183,114,51,1
38,alt_text,bar,4,1.0551,337,213,0
39,fit_distance_text,bar,0,0.9903,2324,199,0
39,iso_text,text,1,0.0245,140,51,1
39,exposure_text,text,2,0.0135,144,51,1
39,temp_text,text,3,0.012,114,51,1
39,alt_text,bar,4,0.9121,337,213,0
40,fit_distance_text,bar,0,0.8878,2324,199,0
40,iso_text,text,1,0.0219,140,51,1
40,exposure_text,text,2,0.0129,144,51,1
40,temp_text,text,3,0.0116,114,51,1
40,alt_text,bar,4,0.8992,337,213,0
41,fit_distance_text,bar,0,0.8715,2324,199,0
41,iso_text,text,1,0.0218,140,51,1
41,exposure_text,text,2,0.0135,144,51,1
41,temp_text,text,3,0.0118,114,51,1
41,alt_text,bar,4,0.8926,337,213,0
42,fit_distance_text,bar,0,0.8733,2324,199,0
42,iso_text,text,1,0.0227,140,51,1
42,exposure_text,text,2,0.0132,144,51,1
42,temp_text,text,3,0.0118,114,51,1
42,alt_text,bar,4,0.8739,337,213,0
43,fit_distance_text,bar,0,2.0626,2324,199,0
43,iso_text,text,1,0.066,140,51,1
43,exposure_text,text,2,0.0312,144,51,1
