ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ns,worker_clear_started_ns,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
3656.4351,3654.5725,3604.9128,3642.3376,6,7,45,3606.6095,3648.9167,3648.9235,3648.9189,3642.3405,3640.0545,3656.464,3648.9217,3606.5731,3606.576,,,3640.0545,2116,3636.9499,3623.6035,3623.5698,False,3654.5668,1,4206272,4206272,1
3657.9808,3656.4882,3608.3832,3648.8582,5,7,46,3609.4472,3648.9246,3648.9295,3648.9255,3648.8601,3644.1119,3657.9918,3648.9273,3609.3967,3609.4009,,,3644.1119,33504,3639.1688,3626.9249,3626.9112,False,3656.4863,0,4206272,4206272,1
3659.7428,3659.0572,3621.8208,3658.9648,8,7,47,3623.6406,3658.9827,3659.0012,3658.9842,3658.9683,3658.3903,3659.753,3658.9901,3623.5628,3623.5689,,,3658.3903,44060,3653.5245,3640.0192,3639.9844,False,3659.0526,1,4206272,4206272,1
3662.5198,3659.7624,3624.1914,3658.1962,7,6,48,3636.7446,3659.005,3659.0122,3659.0066,3658.1998,3656.6203,3662.5375,3659.0092,3636.6425,3636.6499,,,3656.6203,2116,3651.5336,3640.4891,3640.4702,False,3659.7616,0,4206272,4206272,1
3669.3234,3668.4434,3636.7511,3668.3119,8,7,49,3642.3086,3668.3338,3668.359,3668.3352,3668.3166,3667.1907,3669.3326,3668.3441,3642.2422,3642.2472,,,3667.1907,6312,3659.8985,3644.6185,3644.6078,False,3668.4366,1,4206272,4206272,1
3672.2593,3669.3444,3642.3824,3667.8986,7,7,50,3648.746,3668.3859,3668.3943,3668.3886,3667.9017,3667.2968,3672.2735,3668.3915,3648.6379,3648.6475,,,3667.2968,33504,3664.001,3649.5923,3649.5707,False,3669.3431,0,4206272,4206272,1
3684.8966,3674.8528,3648.9317,3674.7627,8,4,51,3652.9248,3674.7802,3674.7969,3674.7814,3674.7663,3674.2093,3684.9281,3674.788,3652.7115,3652.726,,,3674.2093,2116,3670.6544,3657.541,3657.5214,False,3674.8468,0,4206272,4206272,1
3687.2392,3685.2307,3652.9398,3685.1373,8,5,52,3655.0589,3685.1525,3685.172,3685.1536,3685.1407,3675.3533,3687.2514,3685.1609,3654.7637,3654.7853,,,3675.3533,44060,3671.5031,3658.9434,3658.9236,False,3685.2242,0,4206272,4206272,1
3689.1188,3687.4678,3655.0751,3687.3801,8,6,53,3656.5685,3687.393,3687.4062,3687.3943,3687.3826,3685.1,3689.1284,3687.3988,3656.5221,3656.5261,,,3685.1,33504,3680.3367,3667.7754,3667.7619,False,3687.4596,0,4206272,4206272,1
3691.4154,3690.5706,3656.5716,3690.4493,8,7,54,3658.1453,3690.4745,3690.5082,3690.4766,3690.454,3689.6747,3691.4231,3690.4857,3658.0502,3658.0567,,,3689.6747,6312,3682.2832,3667.8281,3667.8137,False,3690.565,0,4206272,4206272,1
3693.9684,3693.1303,3659.0144,3693.0574,8,6,55,3660.0571,3693.0721,3693.0867,3693.0733,3693.0603,3692.5519,3693.9837,3693.0775,3659.8264,3659.8345,,,3692.5519,2116,3686.1289,3674.6329,3674.6147,False,3693.1247,0,4206272,4206272,1
3697.0992,3694.5455,3660.0817,3694.3225,8,7,56,3662.6514,3694.3356,3694.3502,3694.3368,3694.3248,3693.7101,3697.1213,3694.341,3662.5946,3662.5995,,,3693.7101,44060,3689.1061,3676.113,3676.0744,False,3694.5408,0,4206272,4206272,1
3704.1539,3703.1314,3668.3973,3702.9415,8,6,57,3669.7044,3703.0014,3703.0463,3703.0038,3702.9523,3701.96,3704.1666,3703.0187,3669.4556,3669.4752,,,3701.96,33504,3699.72,3686.1381,3686.1113,False,3703.1245,0,4206272,4206272,1
