ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ns,worker_clear_started_ns,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy,writer_dequeued_ms,writer_queue_depth_after_get,writer_requested_bytes,writer_returned_bytes,writer_write_calls
3058.0707,3055.9086,2985.4201,3055.8254,8,7,43,2989.2994,3055.8496,3055.8729,3055.8508,3055.8308,3054.7326,3058.0995,3055.86,2989.1942,2989.1993,,,3054.7326,40360,3037.0863,3018.4275,3018.3751,False,3055.9008,0,8294400,8294400,1
3065.6272,3062.5349,2990.2172,3062.2235,8,7,44,2994.7448,3062.271,3062.3271,3062.2736,3062.2323,3061.3409,3065.6482,3062.2921,2994.5906,2994.5992,,,3061.3409,33812,3045.9599,3028.0654,3028.0176,False,3062.489,0,8294400,8294400,1
3074.4206,3071.3904,3002.0661,3071.2248,8,7,45,3004.7325,3071.258,3071.2883,3071.2597,3071.2296,3069.9554,3074.4692,3071.2723,3004.5789,3004.5923,,,3069.9554,44340,3054.8153,3039.9548,3039.9122,False,3071.3823,0,8294400,8294400,1
3085.5628,3079.5333,3009.2828,3079.4436,8,7,46,3020.8848,3079.4647,3079.4847,3079.4665,3079.4476,3078.4773,3085.5967,3079.473,3020.8075,3020.8146,,,3078.4773,13120,3062.0755,3047.2102,3047.1885,False,3079.5279,0,8294400,8294400,1
3094.6164,3091.5022,3020.9707,3091.3288,8,7,47,3024.9931,3091.3684,3091.4055,3091.3703,3091.3369,3090.0061,3094.6724,3091.3802,3024.8955,3024.9044,,,3090.0061,40360,3070.6196,3055.6949,3055.6648,False,3091.4935,0,8294400,8294400,1
3101.2667,3095.5106,3028.1776,3095.3137,8,7,48,3030.3487,3095.3318,3095.3492,3095.3333,3095.3182,3093.9836,3101.2919,3095.341,3030.1934,3030.2089,,,3093.9836,33812,3078.6594,3062.0121,3061.9772,False,3095.5064,0,8294400,8294400,1
3107.8357,3101.9662,3040.388,3101.7221,8,7,49,3044.0335,3101.7411,3101.7577,3101.7425,3101.7254,3100.3714,3107.8848,3101.7491,3043.9414,3043.9473,,,3100.3714,44340,3087.1045,3070.9975,3070.9701,False,3101.9579,0,8294400,8294400,1
3117.7342,3113.3116,3047.2079,3113.2033,8,7,50,3053.0804,3113.2279,3113.2504,3113.2296,3113.2072,3112.2463,3117.7635,3113.2376,3052.9345,3052.9454,,,3112.2463,13120,3099.7377,3079.4264,3079.3836,False,3113.3045,0,8294400,8294400,1
3125.7507,3122.7543,3055.8776,3122.4955,8,7,51,3058.3809,3122.5607,3122.6318,3122.5656,3122.5044,3121.3791,3125.7694,3122.5874,3058.2046,3058.2161,,,3121.3791,40360,3109.0592,3091.2499,3091.2236,False,3122.7411,0,8294400,8294400,1
3131.2979,3127.6383,3062.3437,3127.5101,8,7,52,3066.0998,3127.5243,3127.5393,3127.5256,3127.5129,3126.6052,3131.3248,3127.5311,3065.835,3065.8683,,,3126.6052,33812,3112.4734,3094.9995,3094.9656,False,3127.6279,0,8294400,8294400,1
