frame,map_gpu_ms,chart_gpu_ms,gauge_gpu_ms,lean_gpu_ms,final_gpu_ms
180,0.00048,0.0004,0.00032,0.035,4.367
181,0.00028,0.00028,0.00036,0.035,3.9022
182,0.00036,0.00032,0.00036,0.035,4.97205
183,0.00028,0.00028,0.00036,0.035,5.36078
184,0.00044,0.00028,0.00028,0.035,3.73252
185,0.00032,0.00036,0.00036,0.035,3.9846
186,0.0018,0.00155,0.00155,0.035,6.27824
187,0.00052,0.00048,0.00048,0.035,5.50272
188,0.00088,0.00076,0.00088,0.035,6.34145
189,0.00032,0.00028,0.00036,0.035,4.04396
190,0.00028,0.00028,0.00032,0.035,4.0252
191,0.00032,0.00032,0.00032,0.035,4.05972
192,0.00028,0.00028,0.00028,0.035,3.76196
193,0.00036,0.00028,0.00032,0.035,3.8318
194,0.00195,0.0014,0.00165,0.035,8.58335
195,0.00024,0.00028,0.00028,0.035,3.63848
196,0.00044,0.00044,0.00052,0.035,5.06477
197,0.00068,0.00064,0.00072,0.035,6.50772
198,0.00052,0.00048,0.00044,0.035,5.48182
199,0.00032,0.00036,0.00032,0.035,3.92956
200,0.00032,0.00032,0.00032,0.035,4.00752
201,0.00036,0.00032,0.00036,0.035,4.23888
202,0.00036,0.00036,0.00036,0.035,4.92076
203,0.00044,0.00044,0.00052,0.035,5.08185
204,0.0017,0.0013,0.0014,0.035,8.56447
205,0.00064,0.00052,0.00052,0.035,5.67058
206,0.00064,0.00064,0.00068,0.035,6.12953
207,0.00052,0.00056,0.00048,0.035,5.53577
208,0.00032,0.00036,0.0004,0.035,4.50144
209,0.00175,0.0017,0.00165,0.035,9.26631
210,0.00028,0.00032,0.00036,0.035,5.29789
211,0.00032,0.00032,0.00036,0.035,4.13848
212,0.00068,0.00052,0.00044,0.035,5.23612
213,0.00052,0.00116,0.00116,0.035,5.02172
214,0.00032,0.00028,0.00036,0.035,3.98888
215,0.00032,0.00032,0.00028,0.035,3.82936
216,0.00112,0.00072,0.00076,0.035,5.75825
217,0.00165,0.0016,0.0017,0.035,7.33905
218,0.00032,0.00028,0.00036,0.035,3.97916
219,0.00024,0.00028,0.00028,0.035,3.75744
220,0.00024,0.0002,0.00024,0.035,3.51708
221,0.00024,0.00024,0.00028,0.035,3.595
222,0.00024,0.00024,0.00024,0.035,3.82068
223,0.00032,0.00032,0.00032,0.035,3.9964
224,0.00072,0.00068,0.001,0.035,5.5101
225,0.00028,0.00028,0.00032,0.035,4.30984
226,0.0004,0.0004,0.00044,0.035,4.15012
227,0.00076,0.00064,0.00076,0.035,6.31846
228,0.0017,0.0015,0.00155,0.035,7.50446
229,0.0004,0.00036,0.00044,0.035,4.94661
230,0.00044,0.00036,0.00048,0.035,5.22837
231,0.0004,0.00044,0.00052,0.035,4.05208
232,0.00044,0.0004,0.00044,0.035,4.82772
233,0.00028,0.00032,0.00028,0.035,3.83528
234,0.00052,0.00036,0.00036,0.035,3.9534
235,0.0019,0.00145,0.00165,0.035,10.268
236,0.00036,0.00028,0.00036,0.035,3.99352
237,0.00024,0.00028,0.00028,0.035,3.72932
238,0.00028,0.00028,0.00028,0.035,3.94924
239,0.00072,0.00064,0.00076,0.035,5.75138
240,0.00104,0.0008,0.00072,0.035,6.38887
241,0.00032,0.00032,0.00032,0.035,4.16636
242,0.00032,0.00028,0.00032,0.035,4.359
243,0.00032,0.00028,0.0004,0.035,4.19876
244,0.00044,0.00044,0.00052,0.035,4.793
245,0.00036,0.00032,0.00032,0.035,4.00004
246,0.00052,0.00056,0.00048,0.035,5.30393
247,0.00175,0.0013,0.00195,0.035,7.45947
248,0.00084,0.00072,0.0008,0.035,6.16198
249,0.00028,0.00024,0.00028,0.035,3.62032
250,0.00036,0.00036,0.00032,0.035,4.22864
251,0.00175,0.0013,0.00195,0.035,7.49073
252,0.00392,0.0008,0.00084,0.035,6.36338
253,0.00036,0.00036,0.00036,0.035,4.28752
254,0.00076,0.00068,0.00096,0.035,5.68314
255,0.00032,0.00028,0.00032,0.035,4.585
256,0.00024,0.00028,0.00028,0.035,3.80736
257,0.00028,0.00028,0.00028,0.035,3.99656
258,0.0002,0.0002,0.00024,0.035,3.49064
259,0.00028,0.00032,0.00024,0.035,3.70916
260,0.00056,0.00044,0.00068,0.035,5.42263
261,0.00044,0.00048,0.00044,0.035,4.30456
262,0.00036,0.00032,0.0004,0.035,4.7486
263,0.00048,0.00048,0.00048,0.035,5.51442
264,0.00036,0.00032,0.0004,0.035,4.3432
265,0.00028,0.00028,0.00032,0.035,3.7734
266,0.00032,0.00032,0.00036,0.035,4.15524
267,0.00028,0.00028,0.00028,0.035,3.82164
268,0.00036,0.00036,0.0004,0.035,4.1412
269,0.00036,0.00032,0.00028,0.035,3.84876
270,0.00036,0.00028,0.00032,0.035,5.33253
271,0.00036,0.00032,0.0004,0.035,4.28572
272,0.00068,0.00048,0.00044,0.035,4.09444
273,0.00048,0.0004,0.00048,0.035,4.40785
274,0.0004,0.0004,0.0004,0.035,4.77322
275,0.00155,0.0017,0.00145,0.035,6.50867
276,0.00072,0.00032,0.00032,0.035,4.1624
277,0.00028,0.00024,0.00024,0.035,3.56812
278,0.00036,0.00032,0.00032,0.035,4.52592
279,0.00044,0.00032,0.0004,0.035,4.33952
280,0.00032,0.00032,0.00036,0.035,4.08968
281,0.00028,0.00024,0.00028,0.035,4.72268
282,0.00036,0.00032,0.00032,0.035,4.66396
283,0.00032,0.00028,0.00032,0.035,4.50468
284,0.00155,0.00155,0.0018,0.035,7.34626
285,0.00028,0.00028,0.00036,0.035,4.24572
286,0.0015,0.0013,0.00145,0.035,6.8861
287,0.0015,0.00145,0.0015,0.035,7.58372
288,0.00032,0.00032,0.00036,0.035,3.85808
289,0.00056,0.00048,0.00068,0.035,5.08409
290,0.00032,0.00028,0.00032,0.035,4.16016
291,0.00044,0.00044,0.00048,0.035,5.10072
292,0.0016,0.0014,0.002,0.035,6.87396
293,0.00044,0.00044,0.00048,0.035,3.94336
294,0.00036,0.00032,0.00032,0.035,4.42232
295,0.00048,0.00048,0.00048,0.035,5.02456
296,0.00048,0.00044,0.00052,0.035,6.66807
297,0.00052,0.0004,0.00052,0.035,5.7882
298,0.00032,0.00036,0.0004,0.035,4.06784
299,0.00028,0.00032,0.00032,0.035,3.622
300,0.00044,0.00044,0.00048,0.035,8.98098
301,0.0017,0.00155,0.00185,0.035,7.33067
302,0.00032,0.00036,0.00036,0.035,4.634
303,0.00036,0.00028,0.00032,0.035,4.19524
304,0.00155,0.0013,0.002,0.035,6.56176
305,0.00048,0.00056,0.00052,0.035,5.21263
306,0.00044,0.00044,0.00048,0.035,5.05004
307,0.00048,0.0004,0.00048,0.035,5.30132
308,0.00036,0.00036,0.0004,0.035,4.0202
309,0.00032,0.00032,0.00032,0.035,4.25496
310,0.0004,0.00032,0.00036,0.035,4.16664
311,0.00036,0.00032,0.00032,0.035,4.26824
312,0.00036,0.00028,0.00032,0.035,3.81968
313,0.00032,0.00032,0.00036,0.035,3.85028
314,0.00084,0.00072,0.0008,0.035,6.33045
315,0.00096,0.00072,0.00088,0.035,5.99334
316,0.00024,0.00024,0.00032,0.035,3.71656
317,0.00032,0.00028,0.00028,0.035,3.89112
318,0.00044,0.00032,0.00032,0.035,4.3212
319,0.00115,0.00115,0.00135,0.035,4.26789
320,0.00044,0.00032,0.00032,0.035,3.99228
321,0.00044,0.0004,0.00048,0.035,3.95444
322,0.00072,0.00064,0.0006,0.035,4.00023
323,0.0015,0.00155,0.00165,0.035,6.45069
324,0.00036,0.0004,0.0004,0.035,4.1198
325,0.00032,0.00024,0.00028,0.035,4.19428
326,0.0004,0.00036,0.00036,0.035,4.33648
327,0.00072,0.0006,0.00068,0.035,11.271
328,0.00064,0.00044,0.00064,0.035,5.18853
329,0.0004,0.00036,0.0004,0.035,3.79616
330,0.0008,0.00064,0.001,0.035,5.99857
331,0.00036,0.00032,0.00036,0.035,3.9876
332,0.00036,0.00032,0.00036,0.035,4.25652
333,0.00024,0.00028,0.00024,0.035,4.08804
334,0.00036,0.00032,0.0004,0.035,4.02672
335,0.0004,0.0004,0.00044,0.035,3.93472
336,0.00032,0.00028,0.00032,0.035,4.39704
337,0.00024,0.00024,0.00028,0.035,3.7692
338,0.00036,0.00036,0.0004,0.035,3.771
339,0.00032,0.00032,0.00032,0.035,3.9344
340,0.0006,0.0006,0.00072,0.035,4.81284
341,0.0004,0.00032,0.00036,0.035,4.06932
342,0.00036,0.00032,0.00036,0.035,3.862
343,0.00052,0.00044,0.00052,0.035,5.35742
344,0.0004,0.00044,0.00044,0.035,4.87756
345,0.00084,0.0008,0.0008,0.035,5.58308
346,0.00088,0.00072,0.0008,0.035,6.1642
347,0.00044,0.0004,0.0004,0.035,4.08388
348,0.00044,0.00044,0.00048,0.035,6.21702
349,0.00135,0.00185,0.0012,0.035,5.74862
350,0.00084,0.0006,0.00064,0.035,5.34364
351,0.00056,0.00052,0.00056,0.035,5.21812
352,0.0008,0.00068,0.001,0.035,6.23132
353,0.00068,0.0006,0.00076,0.035,5.67957
354,0.00072,0.00072,0.00076,0.035,5.61955
355,0.00048,0.00048,0.00044,0.035,4.47425
356,0.0006,0.00052,0.00044,0.035,5.55016
357,0.00036,0.00036,0.0004,0.035,4.76224
358,0.00036,0.00036,0.0004,0.035,5.42585
359,0.00044,0.0004,0.00052,0.035,5.57183
360,0.0004,0.00032,0.0004,0.035,3.96936
361,0.00072,0.00072,0.00084,0.035,5.92031
362,0.0004,0.00036,0.0004,0.035,4.22208
363,0.00135,0.0012,0.00135,0.035,6.82878
364,0.00036,0.00032,0.00032,0.035,4.30092
365,0.00044,0.00044,0.00052,0.035,5.53106
366,0.00044,0.0004,0.00052,0.035,6.95127
367,0.00044,0.0004,0.00036,0.035,5.72693
368,0.00076,0.00064,0.00068,0.035,5.82403
369,0.00032,0.00028,0.00024,0.035,3.76088
370,0.00028,0.00036,0.00032,0.035,4.1612
371,0.00048,0.0004,0.00052,0.035,5.31106
372,0.00024,0.00024,0.00028,0.035,5.65817
373,0.00064,0.00052,0.00048,0.035,5.27627
374,0.00036,0.00036,0.0004,0.035,4.44656
375,0.001,0.00064,0.00072,0.035,7.13783
376,0.00036,0.00032,0.00044,0.035,4.3526
377,0.00032,0.00028,0.00032,0.035,3.8142
378,0.00064,0.0006,0.0006,0.035,11.2523
379,0.0004,0.0004,0.0004,0.035,8.18037
380,0.00048,0.00044,0.00052,0.035,5.19233
381,0.0008,0.00092,0.00072,0.035,6.07111
382,0.0004,0.0004,0.00048,0.035,5.95599
