ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_clear_finished_ms,worker_clear_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms,worker_zero_copy
1977.7394,1975.79,1951.3151,1963.7475,6,2,42,1953.1045,1963.7762,1963.7793,1963.7771,1963.7487,1958.6097,1977.7372,1963.7779,1952.9592,1952.9677,1953.9958,1953.5718,1958.6097,6300,1958.6097,1954.0199,1953.4914,True
1979.4158,1977.7487,1953.1124,1963.7383,5,3,43,1955.4071,1963.7803,1963.7834,1963.7811,1963.7394,1959.0796,1979.4138,1963.782,1955.3018,1955.3111,1956.0918,1955.7731,1959.0796,50756,1959.0796,1956.1062,1955.6986,True
1981.7521,1979.4231,1955.4127,1963.7289,4,4,44,1957.4887,1963.7842,1963.7874,1963.785,1963.7302,1960.7849,1981.7504,1963.7859,1957.3179,1957.3291,1958.2976,1957.87,1960.7849,56356,1960.7849,1958.3105,1957.802,True
1983.4155,1981.7608,1957.5007,1963.7083,3,5,45,1959.4128,1963.7882,1963.7915,1963.7889,1963.7099,1962.6012,1983.4122,1963.79,1959.3266,1959.3337,1960.1854,1959.8812,1962.6012,11844,1962.6012,1960.1977,1959.8235,True
1985.58,1983.6395,1959.4182,1983.5704,8,6,46,1961.8275,1983.5937,1983.6041,1983.5946,1983.5722,1965.1867,1985.578,1983.5975,1961.7121,1961.7222,1962.4399,1962.1385,1965.1867,6300,1965.1867,1962.4532,1962.0905,True
1995.7722,1985.5876,1961.8355,1983.581,7,7,47,1963.6509,1983.6059,1983.6098,1983.6068,1983.5823,1969.8262,1995.7675,1983.6079,1963.6049,1963.6095,1964.9886,1964.4342,1969.8262,50756,1969.8262,1965.0014,1964.3549,True
1997.5701,1995.7857,1963.7928,1983.5876,6,2,48,1974.193,1983.6108,1983.614,1983.6116,1983.5883,1978.8389,1997.5675,1983.6125,1974.0478,1974.0624,1975.1219,1974.8461,1978.8389,56356,1978.8389,1975.1351,1974.7405,True
1999.3684,1997.773,1974.2013,1997.6946,8,3,49,1975.9315,1997.7006,1997.7114,1997.7015,1997.6953,1985.8958,1999.3666,1997.7044,1975.8274,1975.8361,1977.1377,1976.5941,1985.8958,11844,1985.8958,1977.1677,1976.4755,True
2001.2433,1999.3767,1975.9384,1983.5511,7,4,50,1977.8862,1997.7276,1997.7324,1997.7289,1983.5553,1982.0774,2001.2414,1997.73,1977.7838,1977.7951,1978.6519,1978.3559,1982.0774,6300,1982.0774,1978.6719,1978.2799,True
2003.7919,2001.251,1977.8939,1997.6644,6,5,51,1979.5945,1997.7335,1997.7368,1997.7343,1997.6675,1983.3386,2003.7883,1997.7352,1979.4725,1979.4833,1980.4112,1980.0514,1983.3386,50756,1983.3386,1980.4311,1979.9886,True
2005.7957,2003.8074,1979.6029,1997.6831,5,6,52,1981.9112,1997.7376,1997.7408,1997.7384,1997.684,1985.238,2005.7935,1997.7393,1981.8001,1981.8098,1982.5428,1982.2637,1985.238,56356,1985.238,1982.5542,1982.2132,True
2007.8302,2005.805,1981.9201,1997.6765,4,7,53,1983.5076,1997.7418,1997.7449,1997.7425,1997.6775,1989.3453,2007.8279,1997.7435,1983.4456,1983.4502,1986.2566,1984.1401,1989.3453,6300,1989.3453,1986.2848,1984.0981,True
2009.7701,2007.8383,1983.6155,1997.689,3,5,54,1985.6756,1997.7456,1997.7493,1997.7464,1997.6897,1993.0609,2009.7682,1997.7477,1985.6182,1985.6249,1988.0232,1986.1636,1993.0609,50756,1993.0609,1988.0397,1986.0985,True
2019.3775,2009.983,1985.6797,2009.8815,8,6,55,1995.9651,2009.9007,2009.9113,2009.9016,2009.8825,2006.2523,2019.3661,2009.9041,1995.8289,1995.8415,1998.7465,1996.7641,2006.2523,56356,2006.2523,1998.7637,1996.6604,True
2021.489,2019.4265,1995.9728,2009.868,7,7,56,1997.6348,2009.9136,2009.9187,2009.9145,2009.8717,2004.0982,2021.4869,2009.9167,1997.6016,1997.605,2000.5852,1998.2596,2004.0982,11844,2004.0982,2000.6038,1998.1823,True
2023.8714,2021.4991,1997.751,2009.8946,6,2,57,1999.5352,2009.9201,2009.9237,2009.9208,2009.8953,2005.4258,2023.8689,2009.9219,1999.42,1999.4279,2002.3466,2000.1371,2005.4258,6300,2005.4258,2002.3686,2000.0562,True
