ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
2388.1969,2385.6658,2346.3816,2385.5816,8,7,84,2347.9828,2385.6007,2385.6165,2385.6018,2385.5856,2380.4582,2388.193,2385.6074,2347.8678,2347.8802,2380.4582,34272,2369.9755,2363.4769,2363.4723
2390.2224,2388.2134,2352.2295,2385.5945,7,7,85,2353.9346,2385.618,2385.623,2385.6189,2385.5956,2384.0115,2390.2155,2385.6205,2353.7319,2353.7495,2384.0115,40188,2375.5769,2368.4629,2368.4575
2404.0638,2402.904,2356.7333,2402.8113,8,7,86,2361.2372,2402.826,2402.8454,2402.8273,2402.8145,2402.2161,2404.0603,2402.8318,2361.1893,2361.1945,2402.2161,56296,2384.9767,2376.031,2376.0225
2406.9752,2404.0825,2361.292,2395.8684,7,7,87,2363.7977,2402.8471,2402.8526,2402.8486,2395.8704,2395.2842,2406.972,2402.8501,2363.6302,2363.6338,2395.2842,34340,2384.6288,2376.1349,2376.1277
2409.621,2406.9895,2363.8563,2395.2502,6,7,88,2366.332,2402.8536,2402.8585,2402.855,2395.2535,2394.4471,2409.6185,2402.8564,2366.2867,2366.2909,2394.4471,34272,2386.3717,2381.0184,2381.0123
2411.9729,2409.6318,2368.6105,2400.3338,5,7,89,2370.3711,2402.8591,2402.8639,2402.8602,2400.3371,2399.7247,2411.9684,2402.8619,2370.3095,2370.3134,2399.7247,40188,2391.7983,2384.5222,2384.5181
2415.3762,2412.2071,2376.8789,2412.1076,8,6,90,2378.8152,2412.1279,2412.1435,2412.1294,2412.1148,2408.8728,2415.3736,2412.1362,2378.5588,2378.5861,2408.8728,34272,2401.2667,2395.0332,2395.0298
2417.6877,2415.7027,2378.8219,2415.5576,8,7,91,2385.5512,2415.5736,2415.5893,2415.575,2415.5591,2412.7738,2417.6841,2415.5801,2385.4838,2385.4915,2412.7738,34340,2401.9117,2395.8079,2395.8028
2419.1125,2417.698,2385.6244,2415.536,7,6,92,2388.2782,2415.5907,2415.5971,2415.592,2415.5411,2413.1647,2419.1107,2415.5944,2388.2356,2388.2417,2413.1647,40188,2403.9352,2400.1807,2400.1784
2424.7067,2423.5037,2388.281,2423.4123,8,7,93,2390.3913,2423.4311,2423.4508,2423.4323,2423.4154,2422.802,2424.7048,2423.4378,2390.2815,2390.2887,2422.802,56296,2415.7309,2402.7098,2402.7075
2438.1959,2425.7901,2402.8653,2425.6863,8,4,94,2404.3252,2425.7112,2425.7396,2425.7126,2425.6938,2424.9408,2438.1837,2425.7214,2404.1324,2404.1499,2424.9408,34272,2417.2716,2409.5492,2409.5458
