ffmpeg_write_finished_ms,ffmpeg_write_started_ms,frame_scheduled_ms,future_completed_ms,in_flight_at_ordered,in_flight_at_schedule,index,job_submitted_ms,ordered_output_ms,queue_put_finished_ms,queue_put_started_ms,result_observed_ms,shm_copy_finished_ms,shm_released_ms,shm_view_ready_ms,slot_acquired_ms,submit_started_ms,worker_done_ms,worker_pid,worker_render_finished_ms,worker_render_started_ms,worker_started_ms
1532.651,1530.8988,1509.4632,1530.8575,4,3,39,1510.5267,1530.8689,1530.8802,1530.87,1530.8594,1530.2658,1532.6464,1530.8728,1510.4616,1510.4689,1530.2658,44428,1524.5086,1517.6845,1517.6834
1540.441,1539.6673,1517.6993,1539.5877,4,3,40,1518.7658,1539.608,1539.6257,1539.6093,1539.5923,1539.0456,1540.4397,1539.6135,1518.6875,1518.6946,1539.0456,54696,1534.9252,1528.7347,1528.7331
1546.4622,1545.0586,1518.8304,1544.9801,4,3,41,1521.2229,1544.9963,1545.0118,1544.998,1544.9833,1544.4895,1546.4604,1545.0025,1521.1766,1521.1828,1544.4895,44428,1537.9356,1530.8136,1530.8118
1551.6879,1550.6208,1528.9601,1550.5264,4,3,42,1530.2752,1550.5429,1550.5606,1550.5445,1550.5307,1549.8496,1551.6838,1550.5505,1530.1775,1530.1853,1549.8496,54696,1544.0398,1539.4103,1539.4083
1560.6361,1559.6844,1530.882,1559.5929,4,3,43,1532.7372,1559.6222,1559.6421,1559.6235,1559.5998,1558.949,1560.6345,1559.6299,1532.6822,1532.6879,1558.949,44428,1553.0235,1544.8511,1544.8486
1563.1827,1560.8493,1539.6284,1560.7938,4,3,44,1540.5365,1560.8068,1560.8204,1560.8081,1560.7979,1559.6182,1563.1798,1560.813,1540.4702,1540.4755,1559.6182,54696,1555.2538,1550.3603,1550.357
1575.0395,1574.3206,1545.0139,1574.2354,4,3,45,1546.5972,1574.2484,1574.2686,1574.2498,1574.2379,1573.6871,1575.038,1574.256,1546.5179,1546.5273,1573.6871,44428,1567.7479,1559.3757,1559.3721
1577.3434,1575.0525,1550.5628,1571.1996,3,3,46,1551.7923,1574.2702,1574.2759,1574.2714,1571.2046,1570.6333,1577.3371,1574.2731,1551.7332,1551.7394,1570.6333,54696,1565.3227,1560.0361,1560.0335
1583.6995,1582.7215,1559.6451,1582.6448,4,3,47,1560.7598,1582.6584,1582.6749,1582.6608,1582.6479,1582.0811,1583.6971,1582.6647,1560.6862,1560.6934,1582.0811,54696,1575.1926,1571.0623,1571.0603
1591.261,1590.2742,1560.8225,1590.1902,4,3,48,1563.2615,1590.2065,1590.2236,1590.2079,1590.1933,1589.523,1591.2563,1590.2109,1563.2164,1563.2205,1589.523,44428,1582.0037,1574.155,1574.1532
1594.681,1593.6312,1574.2777,1593.537,4,2,49,1575.3018,1593.5542,1593.5682,1593.5555,1593.5411,1592.8203,1594.6797,1593.5596,1575.1119,1575.1342,1592.8203,54696,1587.5737,1582.4596,1582.4573
1604.5025,1603.5736,1575.3109,1603.492,4,3,50,1577.468,1603.5051,1603.5242,1603.5064,1603.4939,1603.1651,1604.4998,1603.5118,1577.3996,1577.407,1603.1651,44428,1598.8334,1589.9947,1589.9921
1606.5961,1604.5139,1582.6771,1602.8615,3,3,51,1583.9427,1603.5256,1603.5315,1603.5268,1602.8658,1602.3063,1606.5929,1603.5289,1583.7415,1583.7527,1602.3063,54696,1598.4086,1593.4425,1593.4398
1613.9356,1613.1397,1590.2262,1613.0526,4,3,52,1591.4213,1613.0726,1613.093,1613.0738,1613.0559,1612.5266,1613.934,1613.0782,1591.3226,1591.3345,1612.5266,54696,1607.4799,1602.6698,1602.6681
1619.558,1618.7952,1593.5919,1618.7307,4,3,53,1594.801,1618.7462,1618.7617,1618.7476,1618.7339,1618.2105,1619.5568,1618.7517,1594.7119,1594.7184,1618.2105,44428,1610.5288,1603.4289,1603.4273
1624.1115,1623.0824,1603.5334,1623.0131,4,2,54,1604.7462,1623.0282,1623.0433,1623.0304,1623.0166,1622.5451,1624.1092,1623.0347,1604.5816,1604.5982,1622.5451,54696,1617.3557,1612.892,1612.8903
1632.8387,1631.9905,1604.7558,1631.9098,4,3,55,1606.7107,1631.9296,1631.9485,1631.9317,1631.9132,1631.3018,1632.8371,1631.9366,1606.6415,1606.6489,1631.3018,44428,1626.0045,1618.6369,1618.6353
1634.9891,1633.0082,1613.0958,1632.9589,4,3,56,1614.0233,1632.9692,1632.9822,1632.9706,1632.9616,1631.3845,1634.9877,1632.9753,1613.9652,1613.9699,1631.3845,54696,1627.4724,1622.8826,1622.8802
1643.2285,1642.4101,1618.7649,1642.3408,4,3,57,1619.6415,1642.362,1642.3827,1642.3635,1642.3453,1641.6299,1643.2268,1642.3691,1619.5864,1619.5924,1641.6299,44428,1636.7334,1631.7186,1631.7167
1649.5825,1648.8231,1623.046,1648.7541,4,3,58,1624.2389,1648.7698,1648.786,1648.7712,1648.7573,1648.1702,1649.5812,1648.7757,1624.1513,1624.1587,1648.1702,54696,1641.8977,1631.7661,1631.7648
1653.2226,1652.4134,1631.9513,1652.356,4,3,59,1632.9341,1652.3676,1652.379,1652.3688,1652.3586,1651.8682,1653.2205,1652.3718,1632.8744,1632.8808,1651.8682,44428,1646.9261,1642.1069,1642.1034
1661.5493,1660.7186,1632.984,1660.634,4,3,60,1635.0607,1660.6535,1660.6729,1660.655,1660.6379,1659.9184,1661.5479,1660.66,1635.0189,1635.0234,1659.9184,54696,1655.3796,1648.6254,1648.6235
1663.6856,1661.7044,1642.3857,1661.6509,4,3,61,1643.3469,1661.6599,1661.6698,1661.6612,1661.6524,1660.4781,1663.6836,1661.664,1643.2673,1643.2758,1660.4781,44428,1656.4183,1652.2815,1652.2796
1674.5815,1673.7086,1648.7895,1673.6228,4,3,62,1649.6738,1673.6369,1673.6556,1673.6386,1673.6256,1673.1013,1674.5801,1673.6428,1649.6129,1649.6184,1673.1013,54696,1667.9267,1660.448,1660.4448
1676.9277,1674.5969,1652.3811,1670.6194,3,3,63,1653.3011,1673.6572,1673.6639,1673.6588,1670.6234,1670.1216,1676.9257,1673.6605,1653.252,1653.2568,1670.1216,44428,1665.244,1660.7142,1660.7114
1681.1759,1680.21,1660.6758,1680.1403,4,3,64,1661.6286,1680.156,1680.1694,1680.1572,1680.1442,1679.5507,1681.1745,1680.1613,1661.5748,1661.582,1679.5507,44428,1673.9184,1670.4771,1670.4753
1688.8305,1687.9367,1661.6713,1687.8808,4,3,65,1663.7621,1687.8982,1687.9153,1687.8994,1687.8836,1687.303,1688.8291,1687.9037,1663.7222,1663.7269,1687.303,54696,1680.5542,1673.5101,1673.5081
1691.5313,1689.6899,1673.6663,1689.6397,4,2,66,1674.7928,1689.6493,1689.6589,1689.6504,1689.6416,1688.772,1691.5292,1689.6526,1674.6379,1674.6533,1688.772,44428,1684.4935,1680.0161,1680.0122
1701.6844,1700.9387,1674.8009,1700.8588,4,3,67,1677.0098,1700.8728,1700.8919,1700.874,1700.8609,1700.4441,1701.6827,1700.8786,1676.9586,1676.9624,1700.4441,54696,1695.5455,1687.6863,1687.6849
1704.0541,1701.6974,1680.1718,1698.6281,3,3,68,1681.2445,1700.8938,1700.9004,1700.8956,1698.6316,1698.0174,1704.0517,1700.8974,1681.2001,1681.2052,1698.0174,44428,1693.3549,1689.1824,1689.1794
1709.4182,1708.7417,1687.918,1708.6467,4,3,69,1688.9909,1708.6608,1708.6821,1708.6619,1708.6491,1708.2771,1709.4169,1708.668,1688.8687,1688.8742,1708.2771,44428,1703.5518,1698.444,1698.4424
1716.9812,1716.1847,1689.6607,1716.1034,4,3,70,1691.6037,1716.1219,1716.1409,1716.1232,1716.1068,1715.5284,1716.9796,1716.129,1691.5604,1691.566,1715.5284,54696,1709.9393,1700.7747,1700.7733
1719.2673,1718.2594,1700.9025,1718.196,4,2,71,1701.865,1718.2101,1718.2251,1718.2116,1718.1994,1717.6775,1719.266,1718.2158,1701.7371,1701.7455,1717.6775,44428,1713.0417,1708.5413,1708.5394
1730.5549,1729.7672,1701.8708,1729.6898,4,3,72,1704.1253,1729.7027,1729.7196,1729.7041,1729.6917,1729.222,1730.5522,1729.7078,1704.0862,1704.0902,1729.222,54696,1725.0185,1715.9721,1715.9708
1732.9056,1730.578,1708.6849,1727.5028,3,3,73,1709.4905,1729.7208,1729.7278,1729.7222,1727.5068,1726.9138,1732.903,1729.7254,1709.446,1709.4505,1726.9138,44428,1722.9147,1718.0617,1718.0577
1738.2387,1737.3339,1716.1437,1737.2409,4,3,74,1717.0736,1737.2555,1737.269,1737.2567,1737.2437,1736.8665,1738.2375,1737.2601,1717.0056,1717.011,1736.8665,44428,1731.5561,1727.3145,1727.3129
1745.3214,1744.4694,1718.2278,1744.4083,4,3,75,1719.3757,1744.4274,1744.4444,1744.4288,1744.4123,1743.8278,1745.3202,1744.4335,1719.3164,1719.3219,1743.8278,54696,1737.9875,1729.5902,1729.589
1748.3038,1747.2946,1729.7296,1747.2288,4,2,76,1730.729,1747.2527,1747.2725,1747.2541,1747.2344,1746.609,1748.3024,1747.2605,1730.6357,1730.6493,1746.609,44428,1741.6769,1737.1363,1737.1344
1759.2975,1758.5347,1730.7334,1758.467,4,3,77,1732.9846,1758.4776,1758.4922,1758.4787,1758.4684,1758.0583,1759.2961,1758.4829,1732.9404,1732.9444,1758.0583,54696,1753.6407,1744.2435,1744.2418
1761.412,1759.3117,1737.2713,1757.1873,3,3,78,1738.3307,1758.4934,1758.4984,1758.4944,1757.1906,1756.5327,1761.4094,1758.4963,1738.2725,1738.2778,1756.5327,44428,1752.4328,1747.0151,1747.0063
1767.9283,1767.1226,1744.4473,1767.0414,4,3,79,1745.4462,1767.0612,1767.0809,1767.0626,1767.0447,1766.4647,1767.9264,1767.0686,1745.3612,1745.3686,1766.4647,44428,1761.6215,1756.9884,1756.9863
1774.5162,1773.6399,1747.2751,1773.554,4,3,80,1748.4386,1773.5767,1773.5966,1773.5781,1773.5579,1773.0066,1774.515,1773.5826,1748.3586,1748.3672,1773.0066,54696,1766.606,1758.4024,1758.4003
1777.7599,1776.8019,1758.4999,1776.7197,4,2,81,1759.4726,1776.7386,1776.7583,1776.7401,1776.7246,1776.02,1777.7586,1776.7479,1759.348,1759.3584,1776.02,44428,1771.1889,1766.8968,1766.8947
1788.7857,1788.0971,1759.4794,1788.0195,4,3,82,1761.6036,1788.0326,1788.052,1788.0339,1788.0221,1787.5416,1788.7843,1788.039,1761.491,1761.502,1787.5416,54696,1783.3414,1773.3864,1773.3845
1791.2028,1788.8009,1767.0833,1786.1161,3,3,83,1768.0246,1788.0536,1788.0591,1788.0549,1786.1199,1785.5875,1791.1996,1788.0563,1767.9608,1767.9671,1785.5875,44428,1781.7621,1776.6231,1776.6204
1795.9645,1795.1544,1773.5994,1795.0513,4,3,84,1774.6215,1795.0749,1795.1166,1795.0766,1795.054,1794.4779,1795.963,1795.0875,1774.5502,1774.557,1794.4779,44428,1789.692,1785.9264,1785.925
1804.153,1803.1694,1776.7663,1803.0766,4,3,85,1777.9309,1803.0984,1803.1218,1803.0998,1803.0813,1802.4523,1804.1502,1803.1058,1777.8077,1777.819,1802.4523,54696,1796.353,1787.9388,1787.9375
1806.578,1804.6877,1788.061,1804.5488,4,2,86,1788.9646,1804.5626,1804.5771,1804.5641,1804.552,1803.8831,1806.5756,1804.5681,1788.8346,1788.8466,1803.8831,44428,1799.9755,1794.9382,1794.9365
1817.9006,1817.0494,1788.9717,1816.9726,4,3,87,1791.2927,1816.9867,1817.0046,1816.9882,1816.9752,1816.4093,1817.8992,1816.993,1791.2468,1791.2517,1816.4093,54696,1812.2614,1802.8571,1802.8552
1820.1768,1817.9142,1795.1206,1814.3344,3,3,88,1796.0699,1817.0059,1817.0109,1817.0072,1814.3381,1813.7798,1820.1743,1817.0087,1796.0022,1796.0156,1813.7798,44428,1809.1351,1804.3793,1804.3742
1824.5624,1823.7433,1803.1259,1823.6967,4,3,89,1804.3564,1823.7106,1823.7243,1823.7117,1823.6993,1823.1081,1824.5613,1823.7154,1804.2283,1804.2381,1823.1081,44428,1817.6334,1814.1503,1814.1488
1832.5437,1831.7528,1804.5795,1831.6711,4,3,90,1806.6657,1831.6907,1831.7095,1831.6922,1831.6741,1831.049,1832.5417,1831.6968,1806.6145,1806.6208,1831.049,54696,1824.7531,1816.8335,1816.832
1834.8157,1832.7152,1817.0128,1832.6614,4,2,91,1818.2,1832.6737,1832.6848,1832.6749,1832.663,1831.1563,1834.813,1832.6783,1817.992,1818.0127,1831.1563,44428,1827.6693,1823.5834,1823.5815
1845.5933,1844.8162,1818.2101,1844.7298,4,3,92,1820.2594,1844.7473,1844.7653,1844.7488,1844.7325,1844.2354,1845.5918,1844.7529,1820.2157,1820.2213,1844.2354,54696,1838.0259,1831.4792,1831.4758
1847.9892,1845.6081,1823.7264,1841.7484,3,3,93,1824.6269,1844.7673,1844.7736,1844.7686,1841.7514,1841.142,1847.9873,1844.7705,1824.5835,1824.5889,1841.142,44428,1836.2462,1831.5326,1831.5307
1851.2745,1850.0891,1831.7121,1850.0187,4,3,94,1832.6357,1850.0326,1850.0457,1850.034,1850.0221,1849.6448,1851.2728,1850.0378,1832.5752,1832.5812,1849.6448,44428,1844.3302,1841.5895,1841.5871
1860.3634,1859.6539,1832.6866,1859.5812,4,3,95,1834.8901,1859.5952,1859.6112,1859.5965,1859.5836,1859.088,1860.3619,1859.6003,1834.8505,1834.8546,1859.088,54696,1852.1222,1844.6491,1844.6459
1862.5561,1860.3769,1844.7757,1858.4913,3,2,96,1845.7995,1859.6128,1859.6178,1859.614,1858.4951,1857.993,1862.5514,1859.6153,1845.6502,1845.6645,1857.993,44428,1854.2116,1849.9138,1849.9106
1869.1371,1868.2937,1845.8072,1868.2154,4,3,97,1848.0579,1868.2327,1868.2516,1868.2339,1868.2189,1867.6162,1869.1358,1868.2386,1848.0164,1848.02,1867.6162,44428,1862.8454,1858.3206,1858.3193
1876.2037,1875.4135,1850.0478,1875.3272,4,3,98,1851.3863,1875.3469,1875.3657,1875.3482,1875.3306,1874.7416,1876.2019,1875.3536,1851.3226,1851.3293,1874.7416,54696,1868.1077,1859.4981,1859.4967
