frame,chart_key,value_str,split_valid,cursor_w,cursor_h,value_w,value_h
154,fit_cadence_text,None,1,7,341,154,52
155,fit_heart_rate_text,None,1,7,341,166,62
155,fit_cadence_text,None,1,7,341,154,52
156,fit_heart_rate_text,None,1,7,341,166,62
156,fit_cadence_text,None,1,7,341,154,52
157,fit_heart_rate_text,None,1,7,341,166,62
157,fit_cadence_text,None,1,7,341,154,52
158,fit_heart_rate_text,None,1,7,341,166,62
158,fit_cadence_text,None,1,7,341,154,52
159,fit_heart_rate_text,None,1,7,341,166,62
159,fit_cadence_text,None,1,7,341,154,52
160,fit_heart_rate_text,None,1,7,341,166,62
160,fit_cadence_text,None,1,7,341,154,52
161,fit_heart_rate_text,None,1,7,341,166,62
161,fit_cadence_text,None,1,7,341,154,52
162,fit_heart_rate_text,None,1,7,341,166,62
162,fit_cadence_text,None,1,7,341,154,52
163,fit_heart_rate_text,None,1,7,341,166,62
163,fit_cadence_text,None,1,7,341,154,52
164,fit_heart_rate_text,None,1,7,341,166,62
164,fit_cadence_text,None,1,7,341,154,52
165,fit_heart_rate_text,None,1,7,341,166,62
165,fit_cadence_text,None,1,7,341,154,52
166,fit_heart_rate_text,None,1,7,341,166,62
166,fit_cadence_text,None,1,7,341,154,52
167,fit_heart_rate_text,None,1,7,341,166,62
167,fit_cadence_text,None,1,7,341,154,52
168,fit_heart_rate_text,None,1,7,341,166,62
168,fit_cadence_text,None,1,7,341,154,52
169,fit_heart_rate_text,None,1,7,341,166,62
169,fit_cadence_text,None,1,7,341,154,52
170,fit_heart_rate_text,None,1,7,341,166,62
170,fit_cadence_text,None,1,7,341,154,52
171,fit_heart_rate_text,None,1,7,341,166,62
171,fit_cadence_text,None,1,7,341,154,52
172,fit_heart_rate_text,None,1,7,341,166,62
172,fit_cadence_text,None,1,7,341,154,52
173,fit_heart_rate_text,None,1,7,341,166,62
173,fit_cadence_text,None,1,7,341,154,52
174,fit_heart_rate_text,None,1,7,341,166,62
174,fit_cadence_text,None,1,7,341,154,52
175,fit_heart_rate_text,None,1,7,341,166,62
175,fit_cadence_text,None,1,7,341,154,52
176,fit_heart_rate_text,None,1,7,341,166,62
176,fit_cadence_text,None,1,7,341,154,52
177,fit_heart_rate_text,None,1,7,341,166,62
177,fit_cadence_text,None,1,7,341,154,52
178,fit_heart_rate_text,None,1,7,341,166,62
178,fit_cadence_text,None,1,7,341,154,52
179,fit_heart_rate_text,None,1,7,341,166,62
179,fit_cadence_text,None,1,7,341,154,52
180,fit_heart_rate_text,None,1,7,341,166,62
180,fit_cadence_text,None,1,7,341,154,52
181,fit_heart_rate_text,None,1,7,341,166,62
181,fit_cadence_text,None,1,7,341,154,52
182,fit_heart_rate_text,None,1,7,341,166,62
182,fit_cadence_text,None,1,7,341,154,52
183,fit_heart_rate_text,None,1,7,341,166,62
183,fit_cadence_text,None,1,7,341,154,52
184,fit_heart_rate_text,None,1,7,341,166,62
184,fit_cadence_text,None,1,7,341,154,52
185,fit_heart_rate_text,None,1,7,341,166,62
185,fit_cadence_text,None,1,7,341,154,52
186,fit_heart_rate_text,None,1,7,341,166,62
186,fit_cadence_text,None,1,7,341,154,52
187,fit_heart_rate_text,None,1,7,341,166,62
187,fit_cadence_text,None,1,7,341,154,52
188,fit_heart_rate_text,None,1,7,341,166,62
188,fit_cadence_text,None,1,7,341,154,52
189,fit_heart_rate_text,None,1,7,341,166,62
189,fit_cadence_text,None,1,7,341,154,52
190,fit_heart_rate_text,None,1,7,341,166,62
190,fit_cadence_text,None,1,7,341,154,52
191,fit_heart_rate_text,None,1,7,341,166,62
191,fit_cadence_text,None,1,7,341,154,52
192,fit_heart_rate_text,None,1,7,341,166,62
192,fit_cadence_text,None,1,7,341,154,52
193,fit_heart_rate_text,None,1,7,341,166,62
193,fit_cadence_text,None,1,7,341,154,52
194,fit_heart_rate_text,None,1,7,341,166,62
194,fit_cadence_text,None,1,7,341,154,52
195,fit_heart_rate_text,None,1,7,341,166,62
195,fit_cadence_text,None,1,7,341,154,52
196,fit_heart_rate_text,None,1,7,341,166,62
196,fit_cadence_text,None,1,7,341,154,52
197,fit_heart_rate_text,None,1,7,341,166,62
197,fit_cadence_text,None,1,7,341,154,52
198,fit_heart_rate_text,None,1,7,341,166,62
198,fit_cadence_text,None,1,7,341,154,52
199,fit_heart_rate_text,None,1,7,341,166,62
199,fit_cadence_text,None,1,7,341,154,52
200,fit_heart_rate_text,None,1,7,341,166,62
200,fit_cadence_text,None,1,7,341,154,52
201,fit_heart_rate_text,None,1,7,341,166,62
201,fit_cadence_text,None,1,7,341,154,52
202,fit_heart_rate_text,None,1,7,341,166,62
202,fit_cadence_text,None,1,7,341,154,52
203,fit_heart_rate_text,None,1,7,341,166,62
203,fit_cadence_text,None,1,7,341,154,52
204,fit_heart_rate_text,None,1,7,341,166,62
204,fit_cadence_text,None,1,7,341,154,52
205,fit_heart_rate_text,None,1,7,341,166,62
205,fit_cadence_text,None,1,7,341,154,52
206,fit_heart_rate_text,None,1,7,341,166,62
206,fit_cadence_text,None,1,7,341,154,52
207,fit_heart_rate_text,None,1,7,341,166,62
207,fit_cadence_text,None,1,7,341,154,52
208,fit_heart_rate_text,None,1,7,341,166,62
208,fit_cadence_text,None,1,7,341,154,52
209,fit_heart_rate_text,None,1,7,341,166,62
209,fit_cadence_text,None,1,7,341,154,52
210,fit_heart_rate_text,None,1,7,341,166,62
210,fit_cadence_text,None,1,7,341,154,52
211,fit_heart_rate_text,None,1,7,341,166,62
211,fit_cadence_text,None,1,7,341,154,52
212,fit_heart_rate_text,None,1,7,341,166,62
212,fit_cadence_text,None,1,7,341,154,52
213,fit_heart_rate_text,None,1,7,341,166,62
213,fit_cadence_text,None,1,7,341,154,52
214,fit_heart_rate_text,None,1,7,341,166,62
214,fit_cadence_text,None,1,7,341,154,52
215,fit_heart_rate_text,None,1,7,341,166,62
215,fit_cadence_text,None,1,7,341,154,52
216,fit_heart_rate_text,None,1,7,341,166,62
216,fit_cadence_text,None,1,7,341,154,52
217,fit_heart_rate_text,None,1,7,341,166,62
217,fit_cadence_text,None,1,7,341,154,52
218,fit_heart_rate_text,None,1,7,341,166,62
218,fit_cadence_text,None,1,7,341,154,52
219,fit_heart_rate_text,None,1,7,341,166,62
219,fit_cadence_text,None,1,7,341,154,52
220,fit_heart_rate_text,None,1,7,341,166,62
220,fit_cadence_text,None,1,7,341,154,52
221,fit_heart_rate_text,None,1,7,341,166,62
221,fit_cadence_text,None,1,7,341,154,52
222,fit_heart_rate_text,None,1,7,341,166,62
222,fit_cadence_text,None,1,7,341,154,52
223,fit_heart_rate_text,None,1,7,341,166,62
223,fit_cadence_text,None,1,7,341,154,52
224,fit_heart_rate_text,None,1,7,341,166,62
224,fit_cadence_text,None,1,7,341,154,52
225,fit_heart_rate_text,None,1,7,341,166,62
225,fit_cadence_text,None,1,7,341,154,52
226,fit_heart_rate_text,None,1,7,341,166,62
226,fit_cadence_text,None,1,7,341,154,52
227,fit_heart_rate_text,None,1,7,341,166,62
227,fit_cadence_text,None,1,7,341,154,52
228,fit_heart_rate_text,None,1,7,341,166,62
228,fit_cadence_text,None,1,7,341,154,52
229,fit_heart_rate_text,None,1,7,341,166,62
229,fit_cadence_text,None,1,7,341,154,52
230,fit_heart_rate_text,None,1,7,341,166,62
230,fit_cadence_text,None,1,7,341,154,52
231,fit_heart_rate_text,None,1,7,341,166,62
231,fit_cadence_text,None,1,7,341,154,52
232,fit_heart_rate_text,None,1,7,341,166,62
232,fit_cadence_text,None,1,7,341,154,52
233,fit_heart_rate_text,None,1,7,341,166,62
233,fit_cadence_text,None,1,7,341,154,52
234,fit_heart_rate_text,None,1,7,341,166,62
234,fit_cadence_text,None,1,7,341,154,52
235,fit_heart_rate_text,None,1,7,341,166,62
235,fit_cadence_text,None,1,7,341,154,52
236,fit_heart_rate_text,None,1,7,341,166,62
236,fit_cadence_text,None,1,7,341,154,52
237,fit_heart_rate_text,None,1,7,341,166,62
237,fit_cadence_text,None,1,7,341,154,52
238,fit_heart_rate_text,None,1,7,341,166,62
238,fit_cadence_text,None,1,7,341,154,52
239,fit_heart_rate_text,None,1,7,341,166,62
