frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
31,0.0435,1.3663,0.7009,0.0021,0.6986,0.6865,0.0099,0.0011,0.1954,0.6403,0.0076,0.1441,0.0923,0.1981,0.0022,0.0135,0.0252,0.3229,0.2302,0.2968,2.4264,7,2894592480,2663143904,1,0,116476604,32,25,1,1,0,0,0
32,0.0458,1.89,0.9855,0.0026,0.9825,0.974,0.0069,0.0007,0.1935,0.8759,0.0086,0.1929,0.2101,0.2646,0.0055,0.013,0.0271,0.3632,0.4992,0.7365,3.928,0,2894592480,2663141088,2,0,116476604,33,26,1,1,0,0,0
33,0.0474,1.57,0.6759,0.0021,0.6735,0.6607,0.0101,0.0013,0.258,0.8715,0.0098,0.1645,0.1861,0.2489,0.0035,0.0133,0.0207,0.3529,0.2294,1.0837,3.4736,1,2894592480,2663136864,0,0,116476604,34,27,1,1,0,0,0
34,0.0389,1.8378,0.6589,0.0021,0.6566,0.643,0.0109,0.0015,0.2527,1.1572,0.0092,0.5663,0.1144,0.2099,0.0041,0.013,0.0199,0.3453,0.2149,0.3219,2.9167,2,2894592480,2663135456,1,0,116476604,35,28,1,1,0,0,0
35,0.0443,1.5399,0.7104,0.002,0.7081,0.6946,0.0105,0.0011,0.2558,0.8092,0.0099,0.1576,0.1162,0.2633,0.0057,0.0121,0.0178,0.4517,0.2224,0.2179,2.6003,3,2894592480,2663141792,2,0,116476604,36,29,1,1,0,0,0
36,0.0382,1.4772,0.6488,0.002,0.6466,0.6364,0.008,0.001,0.2349,0.8043,0.009,0.208,0.1614,0.1813,0.0089,0.0139,0.0228,0.405,0.1926,0.269,2.512,4,2894592480,2663137568,0,0,116476604,37,30,1,1,0,0,0
37,0.0421,1.2691,0.7246,0.0022,0.7222,0.7087,0.011,0.0011,0.1949,0.5261,0.0075,0.1058,0.061,0.1527,0.0038,0.0108,0.016,0.5136,0.1869,0.4354,2.7343,5,2894592480,2663143200,1,0,116476604,38,31,1,1,0,0,0
38,0.0617,1.8753,0.8646,0.0065,0.8578,0.8455,0.0089,0.0016,0.3814,0.988,0.0116,0.2179,0.1355,0.2366,0.0041,0.0133,0.0224,0.4583,0.1991,0.2563,3.0033,6,2894592480,2663131232,2,0,116476604,39,32,1,1,0,0,0
39,0.0379,1.3048,0.6498,0.002,0.6476,0.6348,0.0094,0.0017,0.219,0.6442,0.0235,0.1436,0.0826,0.1721,0.003,0.0044,0.0169,0.2059,0.1398,0.227,2.0318,7,2894592480,2663143904,0,0,116476604,40,33,1,1,0,0,0
40,0.0581,1.6397,0.8052,0.0028,0.8022,0.7904,0.0096,0.0012,0.2088,0.8194,0.0177,0.1256,0.0835,0.3776,0.0056,0.0075,0.0187,0.2794,0.117,0.1481,2.331,0,2894592480,2663141088,1,0,116476604,41,34,1,1,0,0,0
41,0.0645,2.2685,1.1713,0.0053,1.1656,1.1433,0.0169,0.0023,0.4039,1.0734,0.0108,0.1939,0.1661,0.2907,0.0069,0.0148,0.0217,0.4263,0.1559,0.174,3.2005,1,2894592480,2663136864,2,0,116476604,42,35,1,1,0,0,0
42,0.0404,1.4609,0.6636,0.0024,0.6609,0.6499,0.0088,0.0011,0.2197,0.7701,0.0093,0.1309,0.1632,0.2393,0.0069,0.0153,0.0307,0.5158,0.2414,0.3962,2.8787,2,2894592480,2663135456,0,0,116476604,43,36,1,1,0,0,0
43,0.0386,1.3875,0.6677,0.002,0.6655,0.6541,0.0088,0.0011,0.2409,0.7031,0.0098,0.1392,0.1133,0.1964,0.0029,0.0097,0.0158,0.2526,0.1378,0.3622,2.3104,3,2894592480,2663141792,1,0,116476604,44,37,1,1,0,0,0
44,0.0626,1.6833,0.7934,0.0037,0.7894,0.7813,0.0061,0.0009,0.328,0.8519,0.0106,0.1821,0.0837,0.2383,0.0085,0.0232,0.0303,1.8345,0.9575,0.8344,5.877,4,2894592480,2663137568,2,0,116476604,45,38,1,1,0,0,0
45,0.0407,1.5226,0.6421,0.0019,0.64,0.6288,0.0082,0.0016,0.2648,0.8581,0.0261,0.2482,0.1191,0.1902,0.009,0.0135,0.0225,0.3297,0.1542,0.2129,2.3737,5,2894592480,2663143200,0,0,116476604,46,39,1,1,0,0,0
46,0.0379,1.2197,0.694,0.0021,0.6917,0.6799,0.0091,0.0014,0.1823,0.4964,0.0071,0.0817,0.0608,0.1619,0.002,0.0163,0.0325,0.2742,0.1212,0.2335,1.9989,6,2894592480,2663131232,1,0,116476604,47,40,1,1,0,0,0
47,0.0519,1.4496,0.7305,0.003,0.7273,0.7149,0.0096,0.0012,0.2601,0.6973,0.0205,0.1409,0.0877,0.1842,0.0032,0.0109,0.0205,0.2295,0.1331,0.1569,2.1242,7,2894592480,2663143904,2,0,116476604,48,41,1,1,0,0,0
48,0.0453,1.6203,0.8799,0.0031,0.8764,0.8632,0.0104,0.0014,0.2413,0.6979,0.0083,0.203,0.0972,0.1453,0.0022,0.0082,0.0161,0.2798,0.1291,0.196,2.3719,0,2894592480,2663141088,0,0,116476604,49,42,1,1,0,0,0
49,0.0419,1.4924,0.6628,0.0026,0.66,0.6479,0.0092,0.0012,0.2981,0.8052,0.0114,0.1749,0.1246,0.1906,0.0048,0.0147,0.0195,0.4078,0.297,0.3698,2.8155,1,2894592480,2663136864,1,0,116476604,50,43,1,1,0,0,0
50,0.0481,1.1483,0.648,0.0022,0.6456,0.6386,0.0053,0.0008,0.1636,0.4663,0.0078,0.0836,0.0574,0.151,0.0027,0.0184,0.0334,0.3646,0.264,0.2623,2.2624,2,2894592480,2663135456,2,0,116476604,51,44,1,1,0,0,0
51,0.0389,1.5528,0.7374,0.0021,0.7351,0.7229,0.0097,0.0011,0.2548,0.7978,0.0234,0.2097,0.1266,0.1767,0.0058,0.0085,0.0186,0.3408,0.2208,0.4662,2.7845,3,2894592480,2663141792,0,0,116476604,52,45,1,1,0,0,0
52,0.0396,1.1837,0.6612,0.0021,0.6585,0.6511,0.006,0.0007,0.1849,0.4977,0.017,0.0935,0.0563,0.143,0.0029,0.0111,0.0325,0.3072,0.1143,0.1464,1.8906,4,2894592480,2663137568,1,0,116476604,53,46,1,1,0,0,0
53,0.0609,3.3736,2.4936,0.0022,2.491,2.4761,0.0107,0.0022,0.2922,0.8601,0.0132,0.2113,0.1178,0.222,0.0033,0.0102,0.024,0.3231,0.1837,0.2177,4.3226,5,2894592480,2663143200,2,0,116476604,54,47,1,1,0,0,0
54,0.0416,1.069,0.6279,0.002,0.6256,0.6206,0.0032,0.001,0.1733,0.4289,0.0066,0.0847,0.048,0.1131,0.0026,0.0056,0.0131,0.2354,0.2407,0.2484,1.9593,6,2894592480,2663131232,0,0,116476604,55,48,1,1,0,0,0
55,0.06,1.6666,0.8241,0.0046,0.8192,0.8073,0.0087,0.0017,0.2809,0.8208,0.0119,0.1448,0.1447,0.2342,0.0034,0.0115,0.0224,0.5646,0.2994,0.2423,2.9591,7,2894592480,2663143904,1,0,116476604,56,49,1,1,0,0,0
56,0.0569,1.6065,0.8192,0.0054,0.8136,0.7978,0.0124,0.0018,0.2824,0.7692,0.01,0.1665,0.1255,0.1811,0.0029,0.0096,0.0188,0.4694,0.2016,0.3204,2.8013,0,2894592480,2663141088,2,0,116476604,57,50,1,1,0,0,0
57,0.039,1.3723,0.6227,0.0021,0.6204,0.6082,0.0094,0.0012,0.2533,0.7246,0.0083,0.1462,0.1166,0.1962,0.0033,0.0145,0.0181,0.3852,0.2945,0.4132,2.7271,1,2894592480,2663136864,0,0,116476604,58,51,1,1,0,0,0
58,0.0389,1.2189,0.6619,0.0022,0.6595,0.6466,0.0099,0.0012,0.1654,0.5279,0.0076,0.0877,0.1359,0.1281,0.0028,0.0166,0.0328,0.2597,0.1392,0.2865,2.0788,2,2894592480,2663135456,1,0,116476604,59,52,1,1,0,0,0
59,0.0433,1.4626,0.6558,0.0021,0.6535,0.6417,0.0092,0.001,0.245,0.7893,0.0099,0.1546,0.1318,0.2416,0.0054,0.0092,0.0184,0.4146,0.2166,0.3542,2.6221,3,2894592480,2663141792,2,0,116476604,60,53,1,1,0,0,0
60,0.0525,1.2599,0.6109,0.0022,0.6085,0.6006,0.0062,0.0006,0.1802,0.6262,0.02,0.0951,0.0788,0.2423,0.0094,0.0149,0.0213,0.2542,0.2074,0.3521,2.2958,4,2894592480,2663137568,0,0,116476604,61,54,1,1,0,0,0
