frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
45,0.0399,11.5644,0.5891,0.0026,0.5864,4.4828,10.958,0.0345,2.8362,1.4891,2.1034,0.0097,0.0165,0.0217,0.8887,0.2256,0.2454,13.1239,1,46,41,0,0,0
46,0.0404,2.6638,0.581,0.0027,0.5783,0.7904,2.0753,0.0081,0.2898,0.3923,0.5859,0.0075,0.0078,0.014,0.4489,0.1138,0.1429,3.4959,2,47,42,0,0,0
47,0.0851,19.3205,18.5236,0.0034,18.5198,0.273,0.7833,0.0113,0.1778,0.1699,0.1426,0.0065,0.0142,0.0186,0.3835,0.2029,0.2375,20.4511,3,48,43,0,0,0
48,0.037,19.0391,17.7166,0.0022,17.7143,0.4668,1.3056,0.0165,0.2579,0.1072,0.4443,0.0098,0.0179,0.0268,0.674,0.2531,0.2589,20.4237,0,49,44,0,0,0
49,0.0694,13.3247,12.161,0.0032,12.1577,0.4071,1.148,0.0164,0.2454,0.0913,0.3747,0.0098,0.0165,0.0252,0.5773,0.2416,0.2885,14.6684,1,50,45,0,0,0
50,0.1572,17.7279,17.0152,0.0191,16.9956,0.2716,0.6987,0.0125,0.1964,0.0818,0.1285,0.0059,0.0143,0.0208,0.3776,0.1454,0.1713,18.6831,2,51,46,0,0,0
51,0.0367,24.2287,23.4779,0.0023,23.4755,0.2816,0.7408,0.0119,0.1462,0.0958,0.1993,0.004,0.0108,0.0163,0.3713,0.1686,0.1902,25.1742,3,52,47,0,0,0
52,0.0377,24.2368,23.4802,0.0021,23.478,0.2769,0.7436,0.0129,0.1531,0.0885,0.2068,0.0036,0.0138,0.0175,0.3413,0.1778,0.1581,25.0558,0,53,48,0,0,0
53,0.0388,29.9823,19.494,0.0023,19.4916,0.4243,10.4723,0.0187,9.766,0.0865,0.1693,0.0048,0.0169,0.0229,0.3863,0.2132,0.1695,31.0028,1,54,49,0,0,0
54,0.0882,2.3932,1.2922,0.0128,1.2791,0.4531,1.0748,0.0162,0.2788,0.1116,0.206,0.0066,0.0261,0.0257,0.498,0.3062,0.2609,3.7363,2,55,50,0,0,0
55,0.0466,1.5457,0.8253,0.0029,0.8223,0.1976,0.7076,0.0097,0.0995,0.1455,0.2507,0.0037,0.0123,0.0176,0.2559,0.143,0.2052,2.3152,3,56,51,0,0,0
