frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
17,0.048,1.0602,0.719,0.0023,0.1484,0.3311,0.0092,0.0647,0.0235,0.0826,0.0015,0.0101,0.0359,0.3159,0.1322,0.2306,1.9221,1,18,15,0,0,0
18,0.0868,1.5725,0.8902,0.0037,0.2337,0.6679,0.0237,0.2164,0.0842,0.1004,0.0083,0.0141,0.0241,0.3085,0.173,0.2911,2.5424,2,19,16,0,0,0
19,0.053,1.2552,0.749,0.0026,0.1815,0.5001,0.0096,0.1067,0.0529,0.1468,0.0018,0.006,0.0164,0.2575,0.1285,0.1722,1.9582,3,20,17,0,0,0
20,0.0535,1.2177,0.8206,0.0034,0.192,0.3874,0.011,0.0836,0.0292,0.0685,0.0011,0.0107,0.0195,0.2341,0.1301,0.312,2.0676,0,21,18,0,0,0
21,0.0438,2.0716,1.3376,0.0029,0.2775,0.7255,0.0189,0.1691,0.0804,0.1739,0.0039,0.0093,0.0251,0.3607,0.2172,0.2793,3.2277,1,22,19,0,0,0
22,0.048,1.1844,0.8079,0.0026,0.154,0.3563,0.0087,0.0718,0.0275,0.0908,0.002,0.0204,0.0365,0.3458,0.152,0.2092,2.0813,2,23,20,0,0,0
23,0.052,5.3701,1.9822,0.0022,1.1398,3.349,0.04,0.8925,0.3692,0.8738,0.026,0.0404,0.0568,1.3286,0.5133,0.4233,7.9474,3,24,21,0,0,0
24,0.0465,1.2338,0.6742,0.0022,0.1634,0.5511,0.0449,0.1907,0.0342,0.115,0.0017,0.0086,0.0169,0.3325,0.418,0.7617,3.2172,0,25,22,0,0,0
25,0.0708,1.5589,0.9838,0.0025,0.2714,0.5717,0.0155,0.1244,0.0576,0.099,0.0028,0.0036,0.0236,0.3195,0.2224,0.2403,2.5562,1,26,23,0,0,0
26,0.0381,1.2224,0.648,0.0021,0.2004,0.5538,0.0088,0.148,0.0551,0.1368,0.0032,0.021,0.0171,0.3536,0.1756,0.2678,2.1944,2,27,24,0,0,0
27,0.0598,1.7763,0.8879,0.0057,0.2438,0.8722,0.0127,0.1668,0.1876,0.2501,0.0085,0.0168,0.0303,0.5778,0.2214,0.4029,3.1944,3,28,25,0,0,0
28,0.0543,1.3443,0.7195,0.0033,0.1788,0.5926,0.0096,0.117,0.1271,0.1544,0.0043,0.0316,0.0333,0.5154,0.2647,0.2767,2.6254,0,29,26,0,0,0
29,0.0487,1.1018,0.5687,0.0025,0.1816,0.5099,0.0075,0.0748,0.0455,0.1874,0.0126,0.0225,0.0338,0.3074,0.1465,0.1581,1.8741,1,30,27,0,0,0
30,0.0389,1.222,0.6512,0.0021,0.1641,0.5504,0.0084,0.0872,0.0634,0.2228,0.0029,0.0207,0.041,0.7743,0.8827,1.0923,4.4007,2,31,28,0,0,0
31,0.047,3.6173,0.9139,0.0025,0.2784,2.6576,0.0403,0.7415,0.6646,0.9021,0.0257,0.0445,0.0593,1.409,0.6971,0.7365,6.8996,3,32,29,0,0,0
32,0.0556,1.003,0.5784,0.0039,0.1474,0.4088,0.01,0.0899,0.0459,0.1118,0.0028,0.0155,0.037,0.4851,0.7867,0.8387,3.5774,0,33,30,0,0,0
33,0.0442,1.0373,0.6288,0.0024,0.1705,0.3991,0.017,0.0759,0.0367,0.0964,0.0017,0.0094,0.033,0.3736,0.2017,0.3511,2.2627,1,34,31,0,0,0
34,0.0413,1.3582,0.5964,0.0022,0.1435,0.75,0.008,0.3568,0.0605,0.177,0.0038,0.0113,0.02,0.3651,0.5242,0.6159,3.3414,2,35,32,0,0,0
35,0.0453,1.1381,0.6149,0.0027,0.1482,0.4999,0.0078,0.1036,0.1039,0.1333,0.0025,0.0229,0.0385,0.3033,0.1317,0.2003,1.935,3,36,33,0,0,0
36,0.0365,1.1173,0.5995,0.0023,0.2554,0.508,0.0097,0.1101,0.0339,0.0945,0.0032,0.0099,0.032,0.2736,0.1747,0.2914,2.0483,0,37,34,0,0,0
37,0.1211,1.7489,1.0743,0.0059,0.3007,0.6611,0.0227,0.1469,0.0557,0.1309,0.0029,0.0133,0.021,0.3301,0.1568,0.2151,2.6911,1,38,35,0,0,0
38,0.0791,1.8732,1.0018,0.0101,0.2665,0.8555,0.013,0.2118,0.0925,0.2619,0.0072,0.0165,0.0251,0.4889,0.252,0.2865,3.1473,2,39,36,0,0,0
39,0.0433,1.3002,0.7586,0.0023,0.1612,0.5194,0.009,0.0884,0.0797,0.1765,0.0032,0.0219,0.038,0.3233,0.1945,0.1926,2.2026,3,40,37,0,0,0
40,0.0487,1.1375,0.6609,0.003,0.1527,0.4693,0.008,0.1399,0.0443,0.1218,0.002,0.0075,0.0357,1.0484,0.7362,0.843,4.2056,0,41,38,0,0,0
41,0.0446,1.2338,0.7036,0.0022,0.2093,0.5091,0.0111,0.1069,0.0516,0.1234,0.005,0.0205,0.0352,0.3423,0.1775,0.2628,2.23,1,42,39,0,0,0
42,0.045,1.4914,0.6686,0.002,0.2028,0.8102,0.0087,0.1841,0.1809,0.2251,0.0068,0.0129,0.02,0.41,0.2207,0.2676,2.5812,2,43,40,0,0,0
43,0.0449,1.7325,0.799,0.0021,0.2725,0.9212,0.0294,0.3083,0.1209,0.1839,0.0042,0.013,0.0293,0.4019,0.261,0.5819,3.2058,3,44,41,0,0,0
44,0.0508,1.3238,0.7966,0.0028,0.1628,0.5086,0.0082,0.0859,0.0551,0.1925,0.0028,0.0186,0.0388,0.3353,0.1698,0.2979,2.3561,0,45,42,0,0,0
45,0.039,1.2571,0.6726,0.0022,0.1538,0.5758,0.0183,0.2043,0.071,0.1253,0.0018,0.0084,0.0251,0.3439,0.2226,0.3509,2.3691,1,46,43,0,0,0
46,0.038,1.1447,0.698,0.0022,0.1624,0.4394,0.0076,0.0985,0.0632,0.1052,0.0013,0.0077,0.0126,0.1977,0.1309,0.2912,1.9041,2,47,44,0,0,0
47,0.0799,2.093,1.4728,0.0024,0.278,0.6072,0.0105,0.1183,0.0662,0.131,0.0016,0.0134,0.0235,0.5212,0.2258,0.147,3.2015,3,48,45,0,0,0
48,0.0401,1.2589,0.7155,0.0024,0.1575,0.5217,0.0084,0.0796,0.0351,0.2379,0.0019,0.021,0.0347,0.2953,0.2179,0.6114,2.6172,0,49,46,0,0,0
49,0.0447,1.3916,0.7318,0.0021,0.2123,0.6538,0.0263,0.1821,0.0619,0.168,0.0016,0.0066,0.0186,0.2275,0.2483,0.3474,2.5333,1,50,47,0,0,0
50,0.046,1.3715,0.6963,0.0021,0.2617,0.67,0.0244,0.1925,0.0539,0.1331,0.0034,0.0054,0.0153,0.2148,0.1517,0.1669,2.0464,2,51,48,0,0,0
51,0.0457,1.5991,0.6584,0.003,0.2182,0.926,0.0289,0.2712,0.175,0.2283,0.0029,0.015,0.0436,1.7175,0.704,0.8109,5.2996,3,52,49,0,0,0
52,0.0372,1.6941,0.6448,0.002,0.1394,1.0356,0.0075,0.6918,0.0883,0.1037,0.0034,0.0139,0.0212,0.2949,0.1299,0.1657,2.4228,0,53,50,0,0,0
53,0.0381,1.2117,0.6367,0.0023,0.2102,0.5587,0.0102,0.132,0.0664,0.1354,0.0029,0.0168,0.0139,0.3009,0.2008,0.2722,2.1531,1,54,51,0,0,0
54,0.039,1.3764,0.7315,0.0023,0.1859,0.6366,0.008,0.106,0.0823,0.2511,0.002,0.0086,0.019,0.3379,0.9041,0.8233,3.8832,2,55,52,0,0,0
55,0.039,1.2713,0.6658,0.0023,0.2043,0.5948,0.0107,0.1398,0.0652,0.1709,0.0026,0.0109,0.0163,0.304,0.1395,0.2199,2.0758,3,56,53,0,0,0
56,0.0389,1.4272,0.6484,0.0021,0.2008,0.7711,0.0221,0.1976,0.1153,0.2284,0.0052,0.0082,0.0181,0.3514,0.2113,0.3202,2.5055,0,57,54,0,0,0
57,0.04,1.1965,0.6819,0.002,0.1586,0.4926,0.0086,0.1296,0.0657,0.1268,0.0025,0.0215,0.033,0.3554,0.1484,0.1991,2.0661,1,58,55,0,0,0
58,0.0435,1.7906,0.7389,0.0035,0.1607,1.0305,0.009,0.6258,0.0944,0.1322,0.0066,0.0208,0.0259,0.404,0.1574,0.1956,2.7002,2,59,56,0,0,0
59,0.0403,1.2229,0.6245,0.0021,0.207,0.5819,0.0118,0.1373,0.0539,0.1682,0.0025,0.0168,0.0272,0.2563,0.1346,0.2032,1.9765,3,60,57,0,0,0
60,0.0377,1.8112,0.6415,0.0021,0.2012,1.1563,0.0097,0.6309,0.1143,0.1924,0.0057,0.0137,0.021,0.3262,0.2036,0.2237,2.7419,0,61,58,0,0,0
61,0.036,1.0994,0.6102,0.0022,0.1649,0.4768,0.0074,0.0861,0.071,0.1413,0.0051,0.0122,0.0396,0.3327,0.221,0.5196,2.4457,1,62,59,0,0,0
62,0.0379,1.1699,0.6045,0.0022,0.2054,0.5552,0.0108,0.1191,0.0426,0.1728,0.0033,0.01,0.0177,0.2549,0.1426,0.2841,2.0301,2,63,60,0,0,0
63,0.0388,1.3001,0.6602,0.0024,0.2286,0.633,0.0105,0.1521,0.0907,0.1469,0.0025,0.0076,0.0138,0.3579,0.4328,1.6285,4.798,3,64,61,0,0,0
64,0.0375,1.3516,0.6614,0.0021,0.1987,0.6779,0.01,0.2821,0.0559,0.1271,0.0029,0.0123,0.0183,0.2868,0.1278,0.2473,2.1663,0,65,62,0,0,0
65,0.0396,1.3346,0.6456,0.0025,0.209,0.6725,0.0237,0.1895,0.0721,0.1734,0.0026,0.0165,0.0252,0.3393,0.1375,0.1583,2.1129,1,66,63,0,0,0
66,0.0401,1.3078,0.6537,0.0026,0.1726,0.6337,0.0085,0.2104,0.0556,0.1813,0.0038,0.0205,0.0352,0.3664,0.2112,0.285,2.4023,2,67,64,0,0,0
67,0.0638,2.1941,0.8344,0.003,0.1506,1.3126,0.0083,0.1914,0.1117,0.8132,0.0352,0.0454,0.059,1.6068,0.6954,1.2335,6.2231,3,68,65,0,0,0
68,0.0369,1.2163,0.6412,0.0021,0.1382,0.5554,0.0074,0.1948,0.0724,0.1399,0.0018,0.0201,0.0291,0.306,0.1548,0.3171,2.1564,0,69,66,0,0,0
69,0.0402,1.1666,0.6443,0.0022,0.1957,0.5043,0.0098,0.1021,0.0388,0.1539,0.0026,0.0185,0.0294,0.5008,0.553,0.8374,3.5218,1,70,67,0,0,0
70,0.0493,1.1642,0.568,0.0023,0.1718,0.5907,0.0093,0.1944,0.0887,0.1241,0.0017,0.0055,0.0246,0.3192,0.2988,0.3656,2.389,2,71,68,0,0,0
71,0.0377,1.1365,0.6373,0.0021,0.1449,0.485,0.008,0.1057,0.0735,0.1489,0.0025,0.0146,0.0318,0.3213,0.2383,0.4868,2.4242,3,72,69,0,0,0
72,0.0387,1.8189,1.1606,0.002,0.2133,0.649,0.0099,0.1728,0.102,0.1477,0.0021,0.0099,0.0137,0.1925,0.1386,0.1922,2.4923,0,73,70,0,0,0
73,0.0402,1.2336,0.6744,0.0021,0.1404,0.5483,0.0083,0.1164,0.0925,0.1863,0.0036,0.0108,0.0339,0.3575,0.2072,0.2412,2.2488,1,74,71,0,0,0
74,0.0421,1.1637,0.6323,0.0026,0.1942,0.5131,0.0115,0.0945,0.0468,0.1626,0.0024,0.0183,0.0367,0.2568,0.144,0.1745,1.9084,2,75,72,0,0,0
75,0.0409,1.6229,0.9919,0.0022,0.1692,0.6046,0.0113,0.1266,0.1282,0.1639,0.0036,0.0268,0.0392,0.6034,0.7242,1.0914,4.5057,3,76,73,0,0,0
76,0.0433,1.1558,0.6491,0.002,0.1557,0.4875,0.0088,0.0985,0.0745,0.1469,0.0019,0.019,0.029,0.2477,0.1347,0.1839,1.8856,0,77,74,0,0,0
77,0.0458,1.1206,0.5949,0.0021,0.171,0.5146,0.007,0.1217,0.0844,0.1285,0.0015,0.011,0.0297,0.2879,0.1244,0.2128,1.9118,1,78,75,0,0,0
78,0.0399,1.488,0.7679,0.0022,0.1973,0.7085,0.0084,0.1682,0.1172,0.2106,0.0052,0.0116,0.0198,0.4122,0.2454,0.3369,2.6997,2,79,76,0,0,0
79,0.0577,1.1697,0.6636,0.0025,0.1384,0.4982,0.0072,0.1002,0.1117,0.1387,0.0017,0.0078,0.03,0.2549,0.1308,0.1888,1.9249,3,80,77,0,0,0
80,0.0462,1.2079,0.6307,0.0025,0.2053,0.5617,0.0101,0.1182,0.0655,0.159,0.0018,0.016,0.0147,0.2641,0.2603,0.253,2.2115,0,81,78,0,0,0
81,0.0428,1.5235,0.7706,0.0023,0.1568,0.7444,0.0091,0.3575,0.0837,0.1344,0.0015,0.0088,0.0163,0.2604,0.1521,0.273,2.3754,1,82,79,0,0,0
82,0.042,1.4156,0.674,0.0029,0.2153,0.729,0.01,0.1658,0.1145,0.2152,0.0061,0.0131,0.0216,0.3252,0.1846,0.4851,2.6114,2,83,80,0,0,0
83,0.0487,1.392,0.6968,0.0023,0.2507,0.6755,0.0113,0.1509,0.0973,0.1581,0.0054,0.0201,0.0183,0.3336,0.1489,0.212,2.2497,3,84,81,0,0,0
84,0.04,1.626,0.846,0.0024,0.2098,0.7609,0.0111,0.1958,0.1766,0.1605,0.0051,0.0194,0.031,1.6228,1.0201,0.8464,5.7333,0,85,82,0,0,0
85,0.0395,1.1533,0.678,0.0021,0.1665,0.4561,0.0088,0.0898,0.0613,0.1257,0.0025,0.0197,0.0344,0.3298,0.1533,0.2444,2.0594,1,86,83,0,0,0
86,0.0397,1.3734,0.6684,0.003,0.2142,0.684,0.0097,0.1131,0.0736,0.267,0.0048,0.0211,0.032,0.5205,0.2709,0.3137,2.7065,2,87,84,0,0,0
87,0.0447,1.4675,0.6917,0.0022,0.1927,0.7677,0.0211,0.198,0.132,0.2192,0.0031,0.0086,0.0166,0.2885,0.1996,0.3078,2.449,3,88,85,0,0,0
88,0.0436,1.4899,0.7297,0.0023,0.2564,0.7496,0.025,0.1914,0.0962,0.1756,0.0032,0.011,0.0194,0.3934,0.2259,0.4276,2.8133,0,89,86,0,0,0
89,0.0385,1.4916,0.607,0.0019,0.2324,0.8735,0.0108,0.4275,0.0693,0.1271,0.0049,0.0113,0.0183,0.3216,0.2049,0.3582,2.557,1,90,87,0,0,0
90,0.0384,1.3047,0.7149,0.0022,0.2334,0.5829,0.0233,0.154,0.0487,0.1168,0.005,0.0075,0.0139,0.2287,0.173,0.2261,2.1101,2,91,88,0,0,0
91,0.0427,1.2462,0.6634,0.0025,0.2305,0.5632,0.0114,0.139,0.0473,0.129,0.0041,0.0204,0.0194,0.263,0.1966,0.1884,2.0649,3,92,89,0,0,0
92,0.0483,1.0201,0.6279,0.0023,0.1469,0.3843,0.0079,0.0772,0.0546,0.094,0.0026,0.0082,0.0131,0.2659,0.1694,0.8132,2.5273,0,93,90,0,0,0
93,0.0373,1.4148,0.6657,0.0021,0.2013,0.7373,0.0097,0.2087,0.102,0.21,0.0038,0.0122,0.02,0.3754,0.2897,0.4351,2.8856,1,94,91,0,0,0
94,0.0401,1.3627,0.6691,0.0025,0.2206,0.6886,0.0239,0.169,0.0888,0.1813,0.0032,0.0056,0.0142,0.2832,0.1642,0.2208,2.2074,2,95,92,0,0,0
95,0.0389,1.2382,0.662,0.0022,0.1748,0.5556,0.0087,0.1526,0.1086,0.1073,0.0017,0.0213,0.0289,0.2355,0.1783,0.1858,2.0099,3,96,93,0,0,0
96,0.0502,1.1258,0.6088,0.0023,0.1513,0.5042,0.0459,0.1015,0.0429,0.1588,0.0027,0.013,0.0387,0.2845,0.1584,0.185,1.9436,0,97,94,0,0,0
97,0.0513,1.3258,0.6717,0.0021,0.2149,0.6471,0.0101,0.1721,0.1072,0.1395,0.0016,0.0078,0.0191,0.2559,0.1397,0.1606,2.0399,1,98,95,0,0,0
98,0.0401,1.2129,0.6265,0.0021,0.1472,0.5721,0.008,0.1015,0.1229,0.1881,0.003,0.0144,0.0187,0.2864,0.1519,0.2297,2.0642,2,99,96,0,0,0
99,0.0515,1.0744,0.5929,0.0026,0.1607,0.4702,0.0186,0.1069,0.0562,0.125,0.0016,0.0116,0.0317,0.2777,0.159,0.1791,1.8738,3,100,97,0,0,0
100,0.0394,1.3345,0.6886,0.003,0.2095,0.6368,0.0212,0.1603,0.1047,0.1376,0.0026,0.0088,0.0283,1.4827,0.9408,1.4796,6.0257,0,101,98,0,0,0
101,0.052,1.5495,0.7172,0.0022,0.2085,0.819,0.0115,0.2031,0.1788,0.2094,0.0059,0.0136,0.0238,0.395,0.2024,0.5685,2.9864,1,102,99,0,0,0
102,0.0463,1.3826,0.6921,0.0029,0.2207,0.6798,0.0105,0.1595,0.0769,0.2047,0.0055,0.0113,0.0181,0.3536,0.1424,0.2017,2.2402,2,103,100,0,0,0
103,0.0495,1.535,0.9172,0.0029,0.2202,0.5929,0.0102,0.1062,0.0721,0.1797,0.0029,0.0252,0.0407,0.5039,0.8573,0.7999,4.1828,3,104,101,0,0,0
104,0.0392,1.2204,0.6286,0.002,0.2051,0.573,0.0129,0.1366,0.0948,0.1208,0.0018,0.0189,0.0329,0.2996,0.1438,0.2397,2.0775,0,105,102,0,0,0
105,0.0548,1.1139,0.6461,0.0023,0.1449,0.4575,0.0082,0.1022,0.0429,0.1497,0.0029,0.016,0.0368,0.3203,0.1367,0.1876,1.9414,1,106,103,0,0,0
106,0.0386,1.4996,0.7932,0.002,0.2537,0.6863,0.014,0.1865,0.0731,0.1544,0.0032,0.0199,0.0386,0.3436,0.1772,0.2202,2.4378,2,107,104,0,0,0
107,0.0417,3.3378,0.73,0.0021,0.6519,2.5455,0.0424,0.6539,0.4216,0.7559,0.0154,0.061,0.0651,1.1573,0.7536,0.6898,6.4951,3,108,105,0,0,0
108,0.0727,2.1903,1.3333,0.0027,0.3578,0.8275,0.019,0.2326,0.0646,0.1481,0.003,0.0296,0.048,0.5737,0.2441,0.4946,3.8201,0,109,106,0,0,0
109,0.1237,2.4802,1.3064,0.0027,0.3839,1.1506,0.0142,0.3386,0.2184,0.1895,0.0043,0.0227,0.0335,1.2161,1.0186,0.8439,6.2238,1,110,107,0,0,0
110,0.0815,1.9913,1.4841,0.0035,0.1907,0.4778,0.0103,0.129,0.0645,0.08,0.0021,0.0295,0.0535,0.5763,0.3257,0.3018,3.5485,2,111,108,0,0,0
111,0.1817,5.0818,2.4134,0.0178,0.8807,2.6314,0.0385,0.5098,0.3915,0.7808,0.0246,0.0365,0.0579,1.1102,0.415,0.4178,7.5004,3,112,109,0,0,0
112,0.0485,1.1567,0.7608,0.0021,0.1748,0.3807,0.0092,0.083,0.0313,0.0777,0.004,0.0148,0.0376,0.4013,0.3076,0.2537,2.378,0,113,110,0,0,0
113,0.044,1.5212,0.8108,0.0023,0.3027,0.6885,0.0124,0.1531,0.0949,0.1212,0.0019,0.023,0.0288,0.3353,0.2055,0.2933,2.587,1,114,111,0,0,0
114,0.0663,1.5794,0.792,0.0025,0.1554,0.7651,0.0068,0.1084,0.0802,0.3997,0.0135,0.0218,0.0366,0.4232,0.361,0.4261,3.1154,2,115,112,0,0,0
115,0.0646,1.8913,1.2019,0.0028,0.255,0.6742,0.0277,0.1936,0.0629,0.1315,0.0019,0.0152,0.0269,0.369,0.2286,0.3102,3.0372,3,116,113,0,0,0
116,0.0358,1.0366,0.5772,0.0021,0.2004,0.4466,0.01,0.0895,0.0396,0.104,0.0016,0.013,0.0265,0.2567,0.1444,0.1975,1.7965,0,117,114,0,0,0
117,0.0927,1.3845,0.7912,0.0031,0.1754,0.5804,0.0093,0.1961,0.0849,0.1117,0.0015,0.0135,0.0272,0.3574,0.2087,0.3356,2.5629,1,118,115,0,0,0
118,0.0418,1.505,0.708,0.0023,0.1732,0.7919,0.0086,0.3307,0.1028,0.1735,0.0024,0.0051,0.0153,0.275,0.1283,0.1368,2.1842,2,119,116,0,0,0
119,0.0428,1.9034,1.297,0.0021,0.28,0.5967,0.0135,0.109,0.0445,0.1468,0.0019,0.0096,0.0419,0.4209,0.1802,0.3047,3.0229,3,120,117,0,0,0
120,0.0435,1.3557,0.7673,0.0025,0.2476,0.568,0.0104,0.1052,0.0591,0.141,0.0028,0.0213,0.0309,0.2397,0.1377,0.2774,2.208,0,121,118,0,0,0
121,0.042,1.082,0.6356,0.0023,0.1526,0.4267,0.0074,0.0961,0.0526,0.1133,0.0033,0.0202,0.033,0.2701,0.1117,0.1419,1.7582,1,122,119,0,0,0
122,0.0394,1.2566,0.6195,0.0022,0.2348,0.6232,0.0102,0.1603,0.0719,0.1413,0.003,0.0137,0.0254,0.3853,0.2145,0.2681,2.3003,2,123,120,0,0,0
123,0.0387,1.1299,0.6545,0.0022,0.1725,0.4582,0.0094,0.1132,0.0618,0.0986,0.0014,0.0167,0.0345,0.2919,0.2111,0.4298,2.3985,3,124,121,0,0,0
124,0.0396,0.9368,0.626,0.0021,0.1411,0.3066,0.0069,0.078,0.0265,0.051,0.0024,0.0043,0.0133,0.2238,0.1373,0.3213,1.8017,0,125,122,0,0,0
125,0.0406,1.1476,0.6552,0.0021,0.2137,0.4729,0.0109,0.1102,0.0452,0.0865,0.005,0.0198,0.0338,0.2855,0.1724,0.231,2.0339,1,126,123,0,0,0
126,0.0425,1.2508,0.6826,0.0024,0.1823,0.5453,0.0089,0.1148,0.0951,0.1386,0.0042,0.0227,0.0316,0.361,0.2291,0.1796,2.2195,2,127,124,0,0,0
127,0.0617,1.5623,0.7724,0.0022,0.2625,0.7702,0.013,0.1851,0.1101,0.1941,0.0036,0.0203,0.0198,0.3086,0.2279,0.2115,2.513,3,128,125,0,0,0
128,0.0463,1.0911,0.6539,0.0026,0.1449,0.4287,0.008,0.0929,0.0573,0.1218,0.0032,0.0082,0.0324,0.3899,0.2274,0.3555,2.2889,0,129,126,0,0,0
129,0.0376,1.2687,0.6324,0.0022,0.2089,0.6206,0.0106,0.1443,0.0969,0.1559,0.0028,0.0159,0.0163,0.2909,0.1418,0.2258,2.1049,1,130,127,0,0,0
130,0.0386,1.0421,0.6139,0.0022,0.1608,0.4107,0.0078,0.0878,0.0578,0.0931,0.0025,0.0174,0.0245,0.3327,0.1235,0.1417,1.7847,2,131,128,0,0,0
131,0.0434,1.8628,1.1009,0.0025,0.3599,0.7439,0.0187,0.1656,0.067,0.1283,0.0024,0.0188,0.0297,0.5321,0.309,0.3124,3.2579,3,132,129,0,0,0
132,0.0625,1.2049,0.6834,0.0023,0.2475,0.5072,0.0112,0.1301,0.0507,0.0639,0.0019,0.0153,0.0239,0.7586,0.8074,0.8489,4.1168,0,133,130,0,0,0
133,0.0376,1.0637,0.6573,0.0022,0.167,0.3869,0.0082,0.081,0.0496,0.0783,0.0015,0.0199,0.0297,0.3001,0.2714,0.2976,2.1585,1,134,131,0,0,0
134,0.0476,1.0771,0.6909,0.0022,0.1591,0.3693,0.0084,0.0827,0.0427,0.0715,0.0038,0.0171,0.0342,0.3073,0.1861,0.3877,2.1845,2,135,132,0,0,0
135,0.0376,1.079,0.643,0.0019,0.2008,0.4155,0.0099,0.0891,0.0478,0.065,0.0014,0.0205,0.0337,0.7202,0.1459,0.1865,2.3158,3,136,133,0,0,0
136,0.0388,1.3708,0.7659,0.0025,0.2445,0.5961,0.0107,0.1495,0.0806,0.1069,0.0017,0.0102,0.0123,0.2461,0.1409,0.1893,2.0902,0,137,134,0,0,0
137,0.0426,1.1661,0.6891,0.0021,0.1615,0.4565,0.0102,0.0952,0.0681,0.1181,0.002,0.0205,0.0624,0.3692,0.2122,0.231,2.2293,1,138,135,0,0,0
138,0.038,1.304,0.6583,0.0021,0.1993,0.6235,0.011,0.2043,0.0764,0.1275,0.0032,0.0221,0.0333,0.5266,0.0046,0,1.9107,2,139,135,0,24,0
139,0.0431,1.2445,0.6752,0.0022,0.1599,0.5478,0.0088,0.1234,0.0972,0.1517,0.0057,0.0216,0.0364,0.8016,0.143,0.2697,2.6441,3,140,136,0,0,0
