frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
40,0.0385,1.2575,0.5909,0.0027,0.5879,0.5769,0.0088,0.0011,0.2252,0.6496,0.023,0.1738,0.0794,0.1425,0.0048,0.0082,0.0186,0.3785,0.1836,0.3219,2.2826,0,1040447712,634117408,1,0,116476604,41,38,1,1,0,0,0
41,0.0392,1.2942,0.7188,0.0023,0.7162,0.7086,0.0061,0.0007,0.2058,0.5459,0.0078,0.1245,0.0584,0.1443,0.0045,0.0187,0.0146,0.243,0.1795,0.2366,2.1211,1,1040447712,634102624,2,0,116476604,42,39,1,1,0,0,0
42,0.0396,1.2796,0.6472,0.0025,0.6444,0.6325,0.0095,0.0011,0.2267,0.6116,0.0098,0.1147,0.0613,0.191,0.0072,0.0136,0.0165,0.3184,0.1856,0.2726,2.2464,2,1040447712,634104032,0,0,116476604,43,40,1,1,0,0,0
43,0.0394,1.3429,0.6669,0.0025,0.6642,0.6505,0.0103,0.0015,0.2502,0.6597,0.0101,0.1626,0.0887,0.1417,0.0055,0.0102,0.0162,0.2974,0.1363,0.2717,2.1891,3,1040447712,634104736,1,0,116476604,44,41,1,1,0,0,0
44,0.0474,1.189,0.6063,0.0022,0.6038,0.5965,0.0057,0.0011,0.1654,0.5526,0.0081,0.1477,0.0727,0.1545,0.0038,0.0171,0.0308,0.3552,0.1903,0.3112,2.2671,0,1040447712,634117408,2,0,116476604,45,42,1,1,0,0,0
45,0.0387,1.3911,0.6813,0.0025,0.6785,0.6654,0.0108,0.0012,0.277,0.6961,0.0258,0.1854,0.069,0.1353,0.0029,0.0064,0.0126,0.4978,0.3872,0.4504,3.0403,1,1040447712,634102624,0,0,116476604,46,43,1,1,0,0,0
46,0.0359,1.0965,0.6393,0.0022,0.6367,0.6239,0.0102,0.0011,0.1563,0.4207,0.0071,0.0927,0.0599,0.1002,0.0039,0.0218,0.0412,0.3132,0.1545,0.2342,1.9915,2,1040447712,634104032,1,0,116476604,47,44,1,1,0,0,0
47,0.0386,1.6819,0.6374,0.0023,0.6349,0.6227,0.0099,0.0011,0.2628,1.0266,0.0248,0.5283,0.114,0.0929,0.0031,0.0085,0.0158,0.3651,0.2249,0.2337,2.6886,3,1040447712,634104736,2,0,116476604,48,45,1,1,0,0,0
48,0.0398,1.4652,0.6744,0.0026,0.6712,0.6584,0.0101,0.0014,0.2299,0.7463,0.0108,0.1943,0.0927,0.2115,0.0064,0.0194,0.0299,0.2878,0.2161,0.2074,2.4339,0,1040447712,634117408,0,0,116476604,49,46,1,1,0,0,0
49,0.0404,1.481,0.6544,0.0025,0.6517,0.64,0.0093,0.0014,0.3185,0.8073,0.0094,0.1564,0.1035,0.2139,0.0044,0.0114,0.0184,0.3795,0.235,0.4041,2.7901,1,1040447712,634102624,1,0,116476604,50,47,1,1,0,0,0
50,0.0478,1.2527,0.727,0.0023,0.7245,0.7113,0.0107,0.0011,0.2133,0.4988,0.0088,0.0983,0.0532,0.1212,0.0035,0.0151,0.0264,0.3255,0.1604,0.2178,2.1324,2,1040447712,634104032,2,0,116476604,51,48,1,1,0,0,0
51,0.037,1.5764,0.6673,0.0021,0.665,0.6526,0.0101,0.0011,0.1831,0.8936,0.0186,0.0878,0.4805,0.1201,0.003,0.0077,0.0178,0.297,0.142,0.1749,2.3345,3,1040447712,634104736,0,0,116476604,52,49,1,1,0,0,0
52,0.0396,1.3324,0.6647,0.0024,0.6621,0.6493,0.01,0.0011,0.2351,0.6521,0.0247,0.1489,0.0616,0.1746,0.0066,0.0079,0.0171,0.3327,0.1377,0.1757,2.1226,0,1040447712,634117408,1,0,116476604,53,50,1,1,0,0,0
53,0.0395,1.446,0.5896,0.0023,0.587,0.5736,0.0108,0.0013,0.2818,0.8202,0.0096,0.1769,0.1694,0.1724,0.009,0.0219,0.0266,0.4586,0.2296,0.3713,2.7097,1,1040447712,634102624,2,0,116476604,54,51,1,1,0,0,0
54,0.0398,1.2742,0.6747,0.0023,0.6721,0.6604,0.0094,0.0012,0.226,0.5676,0.0101,0.1206,0.0773,0.126,0.0067,0.0162,0.0336,0.2913,0.1821,0.3001,2.2554,2,1040447712,634104032,0,0,116476604,55,52,1,1,0,0,0
55,0.0461,1.4277,0.7313,0.0024,0.7285,0.716,0.0093,0.0013,0.2559,0.6787,0.0113,0.1685,0.0891,0.1475,0.0055,0.0103,0.0158,0.3764,0.2533,0.4647,2.7542,3,1040447712,634104736,1,0,116476604,56,53,1,1,0,0,0
56,0.0546,1.474,0.6964,0.003,0.693,0.6796,0.0105,0.0016,0.2584,0.7571,0.0123,0.1755,0.0757,0.2285,0.0059,0.0121,0.0184,0.3653,0.1965,0.2773,2.5066,0,1040447712,634117408,2,0,116476604,57,54,1,1,0,0,0
57,0.0383,1.2905,0.6628,0.0025,0.6602,0.6471,0.0101,0.0016,0.2267,0.6012,0.0097,0.1154,0.0623,0.1814,0.005,0.0173,0.0161,0.3151,0.195,0.2694,2.2472,1,1040447712,634102624,0,0,116476604,58,55,1,1,0,0,0
58,0.0394,1.2918,0.664,0.0024,0.6613,0.6488,0.0101,0.001,0.2381,0.6025,0.0092,0.1108,0.0703,0.1691,0.0041,0.016,0.013,0.2723,0.1389,0.1698,2.0127,2,1040447712,634104032,1,0,116476604,59,56,1,1,0,0,0
59,0.0374,1.1799,0.5713,0.0022,0.5684,0.5572,0.0091,0.001,0.2235,0.5859,0.0093,0.1136,0.0772,0.1576,0.0043,0.0091,0.0313,0.2846,0.2252,0.2277,2.1099,3,1040447712,634104736,2,0,116476604,60,57,1,1,0,0,0
60,0.0386,1.1605,0.7119,0.0023,0.7094,0.7018,0.006,0.0008,0.1654,0.4244,0.0202,0.0931,0.0452,0.0955,0.0044,0.0104,0.0298,0.5414,0.3485,0.5822,2.9022,0,1040447712,634117408,0,0,116476604,61,58,1,1,0,0,0
