frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
31,0.211,19.4557,18.7101,0.0259,18.6822,18.6674,0.0105,0.0015,0.3445,0.7278,0.0125,0.1545,0.0749,0.1374,0.0032,0.0094,0.0167,0.2429,0.1592,0.1548,20.3215,3,318363552,2131800224,1,0,116476604,32,27,1,1,0,0,0
32,0.0388,14.8428,14.2075,0.0022,14.2046,14.1901,0.0112,0.0015,0.3182,0.6121,0.0104,0.1044,0.0438,0.131,0.0039,0.01,0.0183,0.2561,0.1331,0.1575,15.5105,0,318363552,2131810080,2,0,116476604,33,28,1,1,0,0,0
33,0.0399,15.0557,14.5897,0.0022,14.5871,14.5782,0.0064,0.0009,0.2177,0.4542,0.0193,0.1024,0.0393,0.0716,0.0033,0.005,0.0158,0.2108,0.1312,0.1616,15.6793,1,318363552,2131811488,0,0,116476604,34,29,1,1,0,0,0
34,0.0399,28.6394,27.5869,0.002,27.5846,27.5714,0.0102,0.0014,0.3382,1.0347,0.0108,0.3369,0.1178,0.2236,0.0063,0.0107,0.0184,0.3942,0.136,0.1592,29.4545,2,318363552,2131796704,1,0,116476604,35,30,1,1,0,0,0
35,0.0388,12.0793,11.601,0.0021,11.5986,11.5871,0.0088,0.0012,0.2468,0.4644,0.0089,0.0883,0.0411,0.0754,0.0031,0.0082,0.0144,0.2155,0.2056,0.2547,12.9461,3,318363552,2131800224,2,0,116476604,36,31,1,1,0,0,0
36,0.0381,13.1642,12.5581,0.0022,12.5556,12.5415,0.0107,0.0014,0.3087,0.5929,0.0112,0.1439,0.061,0.0645,0.0027,0.0079,0.0138,0.1921,0.1199,0.11,13.6954,0,318363552,2131810080,0,0,116476604,37,32,1,1,0,0,0
37,0.0445,13.2056,12.6454,0.0023,12.6426,12.6301,0.0096,0.0013,0.3217,0.5464,0.0076,0.0841,0.0455,0.0834,0.0035,0.0079,0.0138,0.1956,0.1044,0.1269,13.7482,1,318363552,2131811488,1,0,116476604,38,33,1,1,0,0,0
38,0.0384,20.1455,18.8858,0.0018,18.8836,18.8573,0.0204,0.0029,0.6232,1.2321,0.0171,0.238,0.1205,0.2232,0.008,0.0175,0.0306,0.464,0.2576,0.364,21.4205,2,318363552,2131796704,2,0,116476604,39,34,1,1,0,0,0
39,0.0746,6.9108,6.2392,0.0035,6.2346,6.226,0.0063,0.0009,0.2892,0.6527,0.0113,0.1467,0.0709,0.1286,0.005,0.0117,0.0179,0.2302,0.1196,0.1283,7.5392,3,318363552,2131800224,0,0,116476604,40,35,1,1,0,0,0
40,0.0407,14.4882,13.8559,0.0023,13.853,13.8409,0.0095,0.0013,0.2604,0.6144,0.0085,0.1639,0.0784,0.0994,0.0032,0.011,0.0173,0.2517,0.1334,0.1335,15.1347,0,318363552,2131810080,1,0,116476604,41,36,1,1,0,0,0
