frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,submit_result,query_result,decoder_copy
50,0.0358,14.2761,13.5507,0.0021,13.5486,13.5402,0.0065,0.0009,0.181,0.712,0.0095,0.1619,0.1137,0.2383,0.0065,0.0127,0.0202,0.3706,0.1349,0.2256,15.1401,2,190672352,2137256416,2,0,116476604,51,46,0,0,0
51,0.0402,22.912,22.2603,0.0026,22.2576,22.2441,0.0105,0.0014,0.2617,0.6395,0.013,0.1431,0.0699,0.1464,0.0042,0.0119,0.0179,0.273,0.1358,0.2356,23.7334,3,190672352,2137264864,0,0,116476604,52,47,0,0,0
52,0.0398,22.2842,21.8109,0.003,21.8079,21.7991,0.0068,0.0009,0.1994,0.4644,0.0105,0.0996,0.0445,0.1065,0.0034,0.0084,0.0142,0.2149,0.1432,0.1541,22.9319,0,190672352,2137264160,1,0,116476604,53,48,0,0,0
53,0.0369,21.9764,21.1896,0.0022,21.1874,21.1739,0.0105,0.0015,0.2777,0.7722,0.0136,0.2113,0.0708,0.1937,0.0042,0.0137,0.0209,0.3949,0.1918,0.2118,22.932,1,190672352,2137255712,2,0,116476604,54,49,0,0,0
54,0.0446,23.1785,22.3108,0.0022,22.3085,22.294,0.0114,0.0015,0.3018,0.8529,0.0152,0.1977,0.1164,0.2152,0.0055,0.0142,0.0212,0.3487,0.1724,0.1741,24.0212,2,190672352,2137256416,0,0,116476604,55,50,0,0,0
55,0.0455,11.6137,10.848,0.0022,10.8457,10.832,0.0101,0.0019,0.3094,0.7516,0.0124,0.1415,0.0684,0.2125,0.0066,0.0135,0.022,0.4232,0.198,0.1624,12.5543,3,190672352,2137264864,1,0,116476604,56,51,0,0,0
56,0.0396,25.5942,24.6854,0.0023,24.6831,24.6676,0.0119,0.0017,0.3799,0.8946,0.0142,0.204,0.0824,0.203,0.0101,0.0133,0.0199,0.4691,0.2122,0.2297,26.6841,0,190672352,2137264160,2,0,116476604,57,52,0,0,0
57,0.0497,11.6201,10.8334,0.0031,10.8302,10.8145,0.0122,0.0017,0.3462,0.7714,0.0171,0.1836,0.0695,0.1498,0.0039,0.0145,0.0243,0.2568,0.1457,0.2538,12.4466,1,190672352,2137255712,0,0,116476604,58,53,0,0,0
58,0.0522,13.871,13.2313,0.0025,13.2287,13.2147,0.0113,0.0014,0.2563,0.6301,0.0127,0.141,0.0696,0.1447,0.0046,0.0093,0.014,0.2025,0.1272,0.2106,14.554,2,190672352,2137256416,1,0,116476604,59,54,0,0,0
59,0.0709,5.9881,5.2993,0.0033,5.2959,5.2807,0.0122,0.0014,0.2588,0.6765,0.0138,0.1562,0.0795,0.1617,0.0054,0.0117,0.0181,0.3472,0.2002,0.1402,6.8428,3,190672352,2137264864,2,0,116476604,60,55,0,0,0
60,0.0644,16.7814,15.9157,0.0024,15.9132,15.8927,0.0162,0.0018,0.3714,0.8506,0.015,0.1869,0.0893,0.1813,0.0053,0.0145,0.0229,0.3845,0.2312,0.254,17.8619,0,190672352,2137264160,0,0,116476604,61,56,0,0,0
61,0.1321,14.9867,14.094,0.0075,14.0863,14.0702,0.0122,0.0016,0.399,0.878,0.0172,0.2198,0.0815,0.1576,0.0024,0.0135,0.022,0.4031,0.2458,0.3046,16.2104,1,190672352,2137255712,1,0,116476604,62,57,0,0,0
62,0.0987,6.9789,6.4069,0.0036,6.403,6.3862,0.0133,0.0012,0.2427,0.5584,0.0091,0.0987,0.0532,0.1509,0.0032,0.0131,0.0232,0.3108,0.196,0.2589,7.9798,2,190672352,2137256416,2,0,116476604,63,58,0,0,0
63,0.0617,8.3059,7.3455,0.0024,7.343,7.3293,0.0113,0.0009,0.3326,0.9319,0.0157,0.1414,0.1801,0.2543,0.0072,0.0272,0.0372,0.5471,0.1642,0.2182,9.4837,3,190672352,2137264864,0,0,116476604,64,59,0,0,0
64,0.0448,13.1725,12.5362,0.0021,12.534,12.5213,0.0102,0.0014,0.3335,0.6262,0.0105,0.117,0.0524,0.1094,0.0025,0.0098,0.0174,0.2942,0.2017,0.1608,13.9972,0,190672352,2137264160,1,0,116476604,65,60,0,0,0
65,0.0557,13.7928,13.0406,0.0035,13.037,13.0245,0.0095,0.0013,0.3733,0.7379,0.0173,0.1644,0.069,0.1106,0.0023,0.0138,0.0227,0.2754,0.1953,0.4504,14.9802,1,190672352,2137255712,2,0,116476604,66,61,0,0,0
66,0.133,12.9376,12.3258,0.0048,12.3209,12.3083,0.0088,0.0017,0.2444,0.6014,0.0097,0.1469,0.0556,0.1423,0.002,0.0101,0.0186,0.2985,0.1562,0.1677,13.7974,2,190672352,2137256416,0,0,116476604,67,62,0,0,0
67,0.0939,1.9545,1.3612,0.0039,1.3572,1.3487,0.0059,0.0019,0.2634,0.5867,0.0117,0.1405,0.0459,0.1225,0.0022,0.0057,0.0176,0.2934,0.1796,0.165,2.7887,3,190672352,2137264864,1,0,116476604,68,63,0,0,0
68,0.0488,6.2149,5.4933,0.0023,5.4909,5.4796,0.0087,0.0015,0.3164,0.7093,0.0133,0.147,0.0683,0.1591,0.0043,0.0114,0.0184,0.2535,0.1318,0.1458,6.8911,0,190672352,2137264160,2,0,116476604,69,64,0,0,0
69,0.0479,13.5706,12.877,0.0033,12.8737,12.8565,0.0138,0.0015,0.2918,0.6823,0.0127,0.1508,0.072,0.149,0.0049,0.0108,0.0173,0.3259,0.1721,0.1328,14.341,1,190672352,2137255712,0,0,116476604,70,65,0,0,0
70,0.0739,6.5542,5.9608,0.0033,5.9575,5.9447,0.0099,0.0013,0.2518,0.5796,0.0113,0.1178,0.0454,0.1433,0.0093,0.0128,0.017,0.3099,0.1353,0.1646,7.3345,2,190672352,2137256416,1,0,116476604,71,66,0,0,0
71,0.0722,7.6861,7.0064,0.0034,7.0029,6.989,0.0111,0.0012,0.2476,0.6652,0.0113,0.1674,0.0636,0.1654,0.0091,0.0134,0.0189,0.3085,0.2073,0.2221,8.6241,3,190672352,2137264864,2,0,116476604,72,67,0,0,0
72,0.0386,13.9084,13.4549,0.0022,13.4525,13.4416,0.0077,0.0016,0.2206,0.445,0.009,0.08,0.0392,0.093,0.0025,0.0081,0.0126,0.1975,0.1329,0.1333,14.4957,0,190672352,2137264160,0,0,116476604,73,68,0,0,0
73,0.042,14.6224,14.0069,0.0023,14.0045,13.9945,0.0073,0.0015,0.2465,0.6071,0.0122,0.1345,0.0684,0.1421,0.0022,0.0081,0.0152,0.1941,0.1222,0.1392,15.2045,1,190672352,2137255712,1,0,116476604,74,69,0,0,0
74,0.0465,13.2873,12.8839,0.0023,12.8816,12.8742,0.0054,0.0009,0.1767,0.3949,0.0089,0.0813,0.0396,0.0852,0.0026,0.0079,0.0133,0.2051,0.1268,0.1521,13.9034,2,190672352,2137256416,2,0,116476604,75,70,0,0,0
75,0.0404,15.6387,14.8813,0.0023,14.879,14.8669,0.0092,0.0016,0.3584,0.7466,0.0133,0.1452,0.0706,0.1529,0.0046,0.0104,0.0165,0.3173,0.1852,0.1482,16.4877,3,190672352,2137264864,0,0,116476604,76,71,0,0,0
76,0.0667,9.7048,9.118,0.0054,9.1122,9.1006,0.0086,0.0012,0.2785,0.5758,0.0113,0.1231,0.0499,0.1096,0.0027,0.0105,0.0178,0.2976,0.1866,0.2112,10.5943,0,190672352,2137264160,1,0,116476604,77,72,0,0,0
77,0.0384,14.8999,14.2751,0.0022,14.2728,14.2609,0.0097,0.0013,0.2587,0.6158,0.0104,0.1648,0.0642,0.1137,0.0031,0.0085,0.0179,0.3065,0.2042,0.2151,15.7979,1,190672352,2137255712,2,0,116476604,78,73,0,0,0
78,0.0397,14.2868,13.6181,0.0021,13.6159,13.6012,0.0116,0.0016,0.2939,0.6582,0.0126,0.1407,0.0675,0.1385,0.004,0.0102,0.0177,0.3113,0.1341,0.1522,15.0187,2,190672352,2137256416,0,0,116476604,79,74,0,0,0
79,0.064,12.1659,11.4939,0.0023,11.4916,11.4826,0.0066,0.0014,0.2953,0.6632,0.0116,0.1426,0.0696,0.139,0.0041,0.0085,0.0183,0.2184,0.1156,0.1455,12.8027,3,190672352,2137264864,1,0,116476604,80,75,0,0,0
80,0.0395,14.2476,13.6126,0.002,13.6105,13.5986,0.0084,0.0017,0.2809,0.6272,0.013,0.1421,0.0676,0.1208,0.002,0.0076,0.0135,0.1939,0.1235,0.1415,14.8378,0,190672352,2137264160,2,0,116476604,81,76,0,0,0
81,0.0392,14.9574,14.3194,0.0021,14.3172,14.3025,0.012,0.0014,0.2497,0.627,0.0119,0.1365,0.0719,0.1512,0.0046,0.0104,0.0168,0.3184,0.197,0.1633,15.7993,1,190672352,2137255712,0,0,116476604,82,77,0,0,0
82,0.0391,14.8118,14.3968,0.0023,14.3945,14.3853,0.0068,0.0012,0.1756,0.4074,0.0091,0.085,0.044,0.0903,0.0028,0.0074,0.0133,0.1991,0.1254,0.1459,15.4206,2,190672352,2137256416,1,0,116476604,83,78,0,0,0
83,0.0402,14.077,13.2041,0.0024,13.2016,13.1871,0.0115,0.0016,0.2645,0.8596,0.0168,0.1831,0.1206,0.2654,0.0071,0.0124,0.0163,0.2974,0.1181,0.1382,14.7613,3,190672352,2137264864,2,0,116476604,84,79,0,0,0
84,0.0425,15.0155,14.3512,0.0025,14.3486,14.3343,0.0116,0.0015,0.2825,0.6549,0.0127,0.1429,0.0687,0.1438,0.0034,0.0091,0.0134,0.1947,0.1218,0.1441,15.6079,0,190672352,2137264160,0,0,116476604,85,80,0,0,0
85,0.0401,22.6971,21.783,0.0021,21.7808,21.7581,0.0185,0.002,0.3608,0.898,0.0163,0.2085,0.1005,0.2041,0.0064,0.0156,0.0231,0.4274,0.2313,0.3652,23.9247,1,190672352,2137255712,1,0,116476604,86,81,0,0,0
86,0.0527,10.8425,10.203,0.0023,10.2006,10.1849,0.0123,0.0017,0.2574,0.629,0.0113,0.1398,0.0689,0.1461,0.0045,0.01,0.0168,0.3162,0.1305,0.1458,11.5838,2,190672352,2137256416,2,0,116476604,87,82,0,0,0
87,0.0394,21.4897,20.4647,0.0021,20.4626,20.4369,0.021,0.0024,0.4024,1.0073,0.0186,0.239,0.1189,0.2194,0.007,0.0167,0.0259,0.4574,0.2671,0.2739,22.7067,3,190672352,2137264864,0,0,116476604,88,83,0,0,0
