frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_setter_fmt,vp_setter_src_rect,vp_setter_dst_rect,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,decoder_tex_id,vp_out_tex_id,array_index,setters_skipped,state_sig,amf_submitted,amf_received,amf_query_calls,amf_outputs,submit_result,query_result,decoder_copy
47,0.0408,1.3329,0.6503,0.0026,0.6472,0.635,0.0095,0.0014,0.2081,0.66,0.0078,0.1234,0.1238,0.1903,0.0056,0.0146,0.0188,0.3754,0.2416,0.3595,2.5204,7,2081825760,1785566048,2,0,116476604,48,42,1,1,0,0,0
48,0.0398,1.4843,0.6803,0.0024,0.6777,0.666,0.0094,0.001,0.2196,0.7647,0.0094,0.1246,0.1759,0.2279,0.0062,0.0197,0.021,0.4083,0.25,0.3861,2.8509,0,2081825760,1579035872,0,0,116476604,49,43,1,1,0,0,0
49,0.0579,2.8807,0.6956,0.0029,0.6925,0.682,0.0085,0.0012,0.267,2.1127,0.011,0.1784,0.4029,1.224,0.0269,0.0428,0.0636,2.0467,0.9459,0.791,7.2061,1,2081825760,1579037280,1,0,116476604,50,44,1,1,0,0,0
50,0.0421,1.1104,0.5938,0.0021,0.5915,0.5804,0.0087,0.0011,0.2126,0.4929,0.0095,0.0972,0.0753,0.0951,0.0026,0.0128,0.0295,0.3218,0.1686,0.2575,2.0164,2,2081825760,1785561120,2,0,116476604,51,45,1,1,0,0,0
51,0.0402,1.3846,0.8245,0.0023,0.822,0.8133,0.0069,0.0007,0.215,0.5219,0.0085,0.1025,0.0659,0.1243,0.0054,0.0222,0.0376,0.314,0.1871,0.174,2.2305,3,2081825760,1785564640,0,0,116476604,52,46,1,1,0,0,0
52,0.0568,1.5613,0.7936,0.005,0.7881,0.7765,0.0087,0.0013,0.2672,0.7458,0.011,0.1656,0.1034,0.1945,0.0033,0.0126,0.0191,0.4343,0.2705,0.2857,2.8535,4,2081825760,1785563232,1,0,116476604,53,47,1,1,0,0,0
53,0.0433,1.5309,0.6568,0.0023,0.6542,0.6442,0.0071,0.0013,0.2571,0.8517,0.0111,0.2205,0.1137,0.2425,0.0059,0.0125,0.021,0.4453,0.311,0.3677,2.9135,5,2081825760,1785563936,2,0,116476604,54,48,1,1,0,0,0
54,0.0375,1.0689,0.598,0.0023,0.5952,0.5839,0.0091,0.001,0.1791,0.4456,0.0072,0.0814,0.0611,0.1132,0.0031,0.012,0.0329,0.3227,0.2038,0.6454,2.5309,6,2081825760,1785565344,0,0,116476604,55,49,1,1,0,0,0
55,0.0383,1.3885,0.6413,0.0022,0.6389,0.6278,0.0084,0.0013,0.2964,0.7286,0.0093,0.1724,0.0971,0.1493,0.0034,0.0104,0.0183,0.3754,0.2065,0.229,2.3802,7,2081825760,1785566048,1,0,116476604,56,50,1,1,0,0,0
56,0.0429,1.186,0.6682,0.0023,0.6657,0.6581,0.0061,0.0006,0.1654,0.4869,0.0078,0.1385,0.0625,0.1091,0.0033,0.0151,0.0344,0.3374,0.2882,0.2621,2.2829,0,2081825760,1579035872,2,0,116476604,57,51,1,1,0,0,0
57,0.0399,1.1122,0.6471,0.0026,0.6443,0.6365,0.0063,0.0008,0.1719,0.4304,0.0074,0.0841,0.0497,0.1131,0.004,0.019,0.0296,0.3486,0.1755,0.1687,1.9619,1,2081825760,1579037280,0,0,116476604,58,52,1,1,0,0,0
58,0.0383,1.414,0.7207,0.002,0.7184,0.7062,0.0096,0.0012,0.225,0.6759,0.0094,0.1545,0.0984,0.1841,0.0035,0.01,0.0166,0.3161,0.2363,0.1857,2.3396,2,2081825760,1785561120,1,0,116476604,59,53,1,1,0,0,0
59,0.039,1.252,0.634,0.0027,0.6311,0.6201,0.0088,0.0011,0.2503,0.5848,0.0086,0.1122,0.0492,0.1599,0.0039,0.0175,0.0292,0.3747,0.2173,0.4856,2.5234,3,2081825760,1785564640,2,0,116476604,60,54,1,1,0,0,0
60,0.0562,1.3209,0.8029,0.0032,0.7992,0.7923,0.0052,0.001,0.186,0.4936,0.0076,0.1338,0.0623,0.0994,0.0039,0.0091,0.0362,0.4185,0.2532,0.2456,2.4365,4,2081825760,1785563232,0,0,116476604,61,55,1,1,0,0,0
61,0.0367,1.4856,0.6269,0.0021,0.6245,0.6124,0.0097,0.0011,0.2209,0.8336,0.0097,0.1796,0.0765,0.3391,0.0069,0.0149,0.022,0.3862,0.2402,0.3282,2.6678,5,2081825760,1785563936,1,0,116476604,62,56,1,1,0,0,0
62,0.0378,1.5943,0.7258,0.002,0.7235,0.7096,0.0114,0.001,0.2246,0.8459,0.0085,0.2079,0.1585,0.2392,0.0064,0.0141,0.0189,0.3109,0.2619,0.1624,2.4821,6,2081825760,1785565344,2,0,116476604,63,57,1,1,0,0,0
63,0.0444,1.2964,0.7186,0.0024,0.7158,0.7035,0.0098,0.001,0.1735,0.5385,0.0078,0.1174,0.0677,0.1601,0.0114,0.0216,0.0356,0.3907,0.1733,0.2013,2.2441,7,2081825760,1785566048,0,0,116476604,64,58,1,1,0,0,0
64,0.0428,1.3802,0.7001,0.0024,0.6975,0.6885,0.0068,0.0008,0.2104,0.6511,0.0078,0.1361,0.1118,0.1782,0.006,0.0132,0.0168,0.3885,0.3072,0.2972,2.6619,0,2081825760,1579035872,1,0,116476604,65,59,1,1,0,0,0
65,0.038,1.4043,0.5968,0.0021,0.5945,0.5831,0.0091,0.0012,0.2217,0.7865,0.0095,0.1878,0.1427,0.2186,0.0054,0.0113,0.0189,0.4623,0.2144,0.3217,2.5951,1,2081825760,1579037280,2,0,116476604,66,60,1,1,0,0,0
66,0.0526,1.3845,0.7529,0.0026,0.75,0.7392,0.0091,0.0008,0.2046,0.6127,0.0085,0.113,0.0778,0.2032,0.0052,0.0053,0.03,0.2847,0.2893,0.6471,3.0552,2,2081825760,1785561120,0,0,116476604,67,61,1,1,0,0,0
67,0.0455,1.4467,0.7367,0.002,0.7344,0.7226,0.0093,0.0013,0.1981,0.6727,0.0078,0.1097,0.0483,0.3005,0.0077,0.0206,0.0279,0.4006,0.1898,0.2542,2.4721,3,2081825760,1785564640,1,0,116476604,68,62,1,1,0,0,0
68,0.0406,1.3269,0.636,0.0022,0.6336,0.6215,0.009,0.0012,0.1805,0.6706,0.0069,0.1329,0.1113,0.2328,0.0055,0.0126,0.0184,0.3623,0.2101,0.134,2.176,4,2081825760,1785563232,2,0,116476604,69,63,1,1,0,0,0
69,0.0391,1.1402,0.6154,0.002,0.6131,0.5956,0.0154,0.0011,0.2087,0.4966,0.0076,0.081,0.056,0.1406,0.0023,0.0173,0.0275,0.3048,0.2358,0.2116,2.0773,5,2081825760,1785563936,0,0,116476604,70,64,1,1,0,0,0
70,0.0429,1.7979,0.7435,0.0026,0.7407,0.7226,0.0129,0.0024,0.4209,1.0165,0.0178,0.1908,0.1248,0.2552,0.0061,0.0246,0.0347,0.5631,0.3058,0.2449,3.13,6,2081825760,1785565344,1,0,116476604,71,65,1,1,0,0,0
71,0.0456,1.8863,0.7268,0.0022,0.7241,0.713,0.0088,0.0011,0.2949,1.1375,0.0104,0.4638,0.1151,0.2455,0.007,0.0142,0.0203,0.4393,0.2355,0.2125,2.9493,7,2081825760,1785566048,2,0,116476604,72,66,1,1,0,0,0
72,0.0389,1.2143,0.5454,0.002,0.543,0.5363,0.0052,0.0006,0.209,0.6468,0.0094,0.1163,0.0892,0.216,0.0061,0.0083,0.0255,0.4059,0.239,0.3137,2.3761,0,2081825760,1579035872,0,0,116476604,73,67,1,1,0,0,0
73,0.0397,1.5776,0.7313,0.0022,0.7289,0.716,0.0109,0.0011,0.269,0.8247,0.0094,0.1608,0.0996,0.2779,0.007,0.0127,0.0201,0.4368,0.2374,0.1349,2.5233,1,2081825760,1579037280,1,0,116476604,74,68,1,1,0,0,0
74,0.0871,2.0756,1.1454,0.0025,1.1423,1.1269,0.0121,0.0016,0.3003,0.899,0.0116,0.1512,0.1448,0.2809,0.0097,0.0173,0.0295,0.4402,0.303,0.4078,3.4933,2,2081825760,1785561120,2,0,116476604,75,69,1,1,0,0,0
75,0.0428,1.4796,0.6956,0.0023,0.6931,0.6812,0.0096,0.001,0.2829,0.7698,0.0089,0.1283,0.1357,0.2106,0.0027,0.0083,0.0147,0.2492,0.1761,0.2431,2.3154,3,2081825760,1785564640,0,0,116476604,76,70,1,1,0,0,0
76,0.0393,1.3666,0.5859,0.0024,0.5833,0.5757,0.0061,0.0006,0.2363,0.7577,0.0089,0.1132,0.1516,0.2424,0.0047,0.0144,0.022,0.4838,0.3143,0.2169,2.5926,4,2081825760,1785563232,1,0,116476604,77,71,1,1,0,0,0
77,0.0482,1.4526,0.692,0.002,0.6896,0.6779,0.0093,0.0012,0.2529,0.7427,0.0088,0.1553,0.0895,0.2314,0.0041,0.0105,0.018,0.4526,0.3248,0.24,2.6425,5,2081825760,1785563936,2,0,116476604,78,72,1,1,0,0,0
78,0.0603,1.7636,0.9427,0.0037,0.9387,0.9249,0.0109,0.0014,0.2661,0.8008,0.0139,0.2683,0.0908,0.1571,0.0037,0.0133,0.0181,0.4557,0.3222,0.3678,3.1942,6,2081825760,1785565344,0,0,116476604,79,73,1,1,0,0,0
79,0.0427,1.4377,0.7371,0.0024,0.7344,0.7229,0.0089,0.0011,0.257,0.6628,0.0117,0.1927,0.0944,0.1032,0.0031,0.0222,0.0206,0.2898,0.1675,0.2674,2.3366,7,2081825760,1785566048,1,0,116476604,80,74,1,1,0,0,0
80,0.048,1.3571,0.6602,0.0027,0.6573,0.6491,0.0068,0.0006,0.2355,0.6554,0.0098,0.202,0.0702,0.1342,0.0031,0.0154,0.021,0.2432,0.1932,0.3925,2.3657,0,2081825760,1579035872,2,0,116476604,81,75,1,1,0,0,0
81,0.0512,1.5247,0.7259,0.0033,0.7223,0.7092,0.0102,0.0013,0.291,0.7795,0.0104,0.171,0.1379,0.164,0.0043,0.0113,0.0197,0.3127,0.1842,0.3229,2.568,1,2081825760,1579037280,0,0,116476604,82,76,1,1,0,0,0
82,0.0462,2.0693,0.7048,0.0025,0.7021,0.6937,0.0064,0.0012,0.868,1.3263,0.01,0.1455,0.1092,0.1857,0.0068,0.0228,0.0281,0.4111,0.2162,0.2029,3.1075,2,2081825760,1785561120,1,0,116476604,83,77,1,1,0,0,0
83,0.0397,1.361,0.6436,0.0022,0.6412,0.629,0.0097,0.0012,0.2556,0.6795,0.0094,0.1828,0.0605,0.1641,0.0063,0.0228,0.0355,0.4013,0.1644,0.2724,2.3937,3,2081825760,1785564640,2,0,116476604,84,78,1,1,0,0,0
84,0.044,1.665,0.6477,0.0022,0.6453,0.633,0.0092,0.0019,0.2255,0.9973,0.0103,0.5288,0.1078,0.1188,0.0051,0.0113,0.0193,0.2946,0.148,0.1573,2.4161,4,2081825760,1785563232,0,0,116476604,85,79,1,1,0,0,0
85,0.0436,1.5431,0.7366,0.0022,0.734,0.7223,0.0092,0.0011,0.2439,0.7861,0.0084,0.1471,0.1195,0.2597,0.0067,0.0126,0.0215,0.3476,0.1911,0.2384,2.523,5,2081825760,1785563936,1,0,116476604,86,80,1,1,0,0,0
86,0.041,1.2545,0.6254,0.002,0.6232,0.6152,0.0059,0.0007,0.1778,0.6114,0.0074,0.1022,0.1367,0.1834,0.0034,0.0122,0.0153,0.3061,0.238,0.2128,2.1993,6,2081825760,1785565344,2,0,116476604,87,81,1,1,0,0,0
87,0.039,1.3657,0.6818,0.0026,0.6789,0.6658,0.0106,0.0011,0.2934,0.662,0.0107,0.1582,0.049,0.1461,0.0037,0.0079,0.0296,0.2121,0.1543,0.2171,2.1127,7,2081825760,1785566048,0,0,116476604,88,82,1,1,0,0,0
88,0.0414,1.669,0.7347,0.0023,0.7322,0.7197,0.0102,0.0011,0.227,0.9029,0.0097,0.121,0.2891,0.25,0.0053,0.0176,0.0261,0.3489,0.164,0.2488,2.6123,0,2081825760,1579035872,1,0,116476604,89,83,1,1,0,0,0
89,0.0417,1.1119,0.6063,0.0022,0.6038,0.5974,0.0046,0.0007,0.1567,0.4821,0.018,0.1397,0.061,0.1032,0.0031,0.0085,0.0351,0.2552,0.2166,0.1902,1.9538,1,2081825760,1579037280,2,0,116476604,90,84,1,1,0,0,0
90,0.0384,1.3606,0.715,0.0022,0.7126,0.7007,0.0093,0.0013,0.2656,0.6265,0.0234,0.1635,0.0677,0.1026,0.0032,0.0056,0.031,0.2503,0.1456,0.2503,2.1733,2,2081825760,1785561120,0,0,116476604,91,85,1,1,0,0,0
91,0.0408,1.2201,0.6135,0.0024,0.6109,0.603,0.006,0.0009,0.1966,0.5816,0.0088,0.1011,0.0922,0.179,0.0035,0.01,0.0318,0.2797,0.1574,0.1744,2.0052,3,2081825760,1785564640,1,0,116476604,92,86,1,1,0,0,0
92,0.0377,1.4895,0.6032,0.0023,0.6007,0.5904,0.0076,0.0012,0.358,0.8605,0.0107,0.1913,0.1186,0.1743,0.0064,0.0153,0.0219,0.4373,0.1982,0.2952,2.6211,4,2081825760,1785563232,2,0,116476604,93,87,1,1,0,0,0
93,0.0454,1.2616,0.7157,0.0024,0.713,0.7004,0.01,0.0013,0.1889,0.5093,0.0087,0.0921,0.092,0.1248,0.0025,0.0191,0.0315,0.3236,0.2281,0.2594,2.3057,5,2081825760,1785563936,0,0,116476604,94,88,1,1,0,0,0
94,0.0433,1.3996,0.6503,0.0022,0.6477,0.6383,0.0068,0.0012,0.263,0.7111,0.0104,0.1517,0.1377,0.1428,0.0047,0.0226,0.0293,0.3877,0.2706,0.3724,2.7052,6,2081825760,1785565344,1,0,116476604,95,89,1,1,0,0,0
