frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
48,0.1591,18.9152,0.0009,0.0164,0.2832,0.7609,0.0115,0.1487,0.081,0.2306,0.0049,0.0164,0.0244,0.3176,0.1393,0.1636,19.8408,0,49,43,0,0,0
49,0.0397,14.011,0.001,0.0027,0.1873,0.5184,0.0094,0.1034,0.0662,0.1489,0.0025,0.0074,0.0147,0.2233,0.1195,0.1424,14.6214,1,50,44,0,0,0
50,0.0415,20.2647,0.001,0.0022,0.3062,0.6748,0.0133,0.1453,0.0506,0.1531,0.0054,0.0161,0.021,0.3423,0.1385,0.2601,21.1718,2,51,45,0,0,0
51,0.0382,21.2066,0.0008,0.0026,0.1999,0.5347,0.0075,0.1314,0.068,0.1244,0.0028,0.0087,0.0138,0.2961,0.1492,0.1654,21.9543,3,52,46,0,0,0
52,0.0391,21.0139,0.0006,0.0024,0.1967,0.5031,0.0099,0.1034,0.0454,0.1445,0.0026,0.0133,0.0283,0.2896,0.1235,0.3101,21.9004,0,53,47,0,0,0
53,0.0511,20.0733,0.0008,0.0023,0.1942,0.4525,0.0081,0.1111,0.0532,0.0838,0.0015,0.0085,0.0135,0.24,0.2046,0.3239,21.0246,1,54,48,0,0,0
54,0.1226,4.0726,0.0015,0.0094,0.3967,0.9223,0.0156,0.1954,0.0925,0.2152,0.0057,0.0188,0.0276,0.4875,0.265,0.2767,5.4187,2,55,49,0,0,0
55,0.0629,10.6245,0.0014,0.0055,0.2859,0.5814,0.0119,0.0944,0.0573,0.1142,0.005,0.0154,0.0203,0.2627,0.1501,0.1747,11.3772,3,56,50,0,0,0
56,0.0411,15.974,0.0011,0.0026,0.3151,0.5712,0.0124,0.1102,0.0559,0.0743,0.0024,0.0116,0.0179,0.2703,0.1674,0.1712,16.7216,0,57,51,0,0,0
57,0.0421,18.0658,0.0009,0.0025,0.2566,0.568,0.0263,0.1297,0.0437,0.1049,0.0055,0.0083,0.0181,0.3059,0.2079,0.2162,18.9724,1,58,52,0,0,0
58,0.0383,19.5152,0.001,0.0022,0.4868,0.8965,0.0116,0.1384,0.0763,0.1791,0.0035,0.0096,0.0136,0.2784,0.1389,0.1496,20.2116,2,59,53,0,0,0
59,0.0673,16.7475,0.0012,0.004,0.4374,0.9676,0.0294,0.2036,0.1346,0.1599,0.0016,0.005,0.0161,0.2245,0.1408,0.1597,17.4316,3,60,54,0,0,0
60,0.0826,14.8567,0.0012,0.0033,0.2748,0.715,0.0127,0.1461,0.0725,0.2052,0.0028,0.0139,0.031,0.3354,0.2284,0.2835,15.9294,0,61,55,0,0,0
61,0.0415,14.8753,0.0013,0.0023,0.3302,0.7858,0.0126,0.2073,0.1171,0.1152,0.0026,0.0112,0.0165,0.3583,0.1492,0.199,15.7287,1,62,56,0,0,0
62,0.0638,22.9794,0.001,0.0024,0.3072,0.6939,0.0122,0.1614,0.0816,0.1262,0.0042,0.0109,0.0177,0.2985,0.1652,0.1612,23.7697,2,63,57,0,0,0
63,0.1313,4.2821,0.0021,0.0132,0.4571,1.1876,0.016,0.2248,0.1408,0.3324,0.015,0.03,0.0331,0.5332,0.2267,0.2201,5.554,3,64,58,0,0,0
