frame,canvas_alloc_ms,canvas_clear_ms,canvas_copy_ms,widget_render_ms,widget_composite_ms,alpha_ms,bbox_ms,crop_ms,tobytes_ms,large_bytes_processed
135,0.0,0.02,0.0,12.607,2.5,0.392,0.035,0.784,1.178,35563288
136,0.0,0.02,0.0,12.346,2.5,0.455,0.034,1.014,1.512,35563288
137,0.0,0.02,0.0,12.422,2.5,0.457,0.043,0.782,1.456,35563288
138,0.0,0.02,0.0,12.854,2.5,0.423,0.046,0.857,1.477,35563288
139,0.0,0.02,0.0,12.648,2.5,0.428,0.037,0.722,1.195,35563288
140,0.0,0.02,0.0,12.415,2.5,0.375,0.032,0.734,1.21,35563288
141,0.0,0.02,0.0,12.806,2.5,0.416,0.034,0.698,1.186,35563288
142,0.0,0.02,0.0,14.512,2.5,0.371,0.051,0.677,1.374,35563288
143,0.0,0.02,0.0,13.058,2.5,0.419,0.043,0.783,1.517,35563288
144,0.0,0.02,0.0,12.909,2.5,0.428,0.031,0.703,1.218,35563288
145,0.0,0.02,0.0,13.068,2.5,0.436,0.036,0.73,1.431,35563288
146,0.0,0.02,0.0,26.444,2.5,0.66,0.037,0.772,1.348,35563288
147,0.0,0.02,0.0,23.0,2.5,0.72,0.038,0.717,1.376,35563288
148,0.0,0.02,0.0,25.851,2.5,0.484,0.052,0.822,1.602,35563288
149,0.0,0.02,0.0,13.277,2.5,0.503,0.034,0.699,1.239,35563288
150,0.0,0.02,0.0,12.494,2.5,0.401,0.033,0.694,1.385,35563288
151,0.0,0.02,0.0,12.192,2.5,0.404,0.039,0.717,1.21,35563288
152,0.0,0.02,0.0,11.845,2.5,0.411,0.033,0.687,1.415,35563288
153,0.0,0.02,0.0,36.588,2.5,0.404,0.053,0.874,1.516,35563288
154,0.0,0.02,0.0,12.207,2.5,0.386,0.039,0.695,1.29,35563288
155,0.0,0.02,0.0,11.766,2.5,0.364,0.037,0.692,1.332,35563288
156,0.0,0.02,0.0,12.783,2.5,0.445,0.036,0.724,1.417,35563288
157,0.0,0.02,0.0,12.17,2.5,0.404,0.04,0.793,1.45,35563288
158,0.0,0.02,0.0,12.346,2.5,0.363,0.055,0.672,1.303,35563288
159,0.0,0.02,0.0,11.879,2.5,0.428,0.045,0.684,1.358,35563288
160,0.0,0.02,0.0,12.188,2.5,0.43,0.034,0.663,1.481,35563288
161,0.0,0.02,0.0,12.078,2.5,0.403,0.035,0.679,1.403,35563288
162,0.0,0.02,0.0,12.46,2.5,0.435,0.035,0.72,1.467,35563288
163,0.0,0.02,0.0,12.852,2.5,0.435,0.048,0.831,1.418,35563288
164,0.0,0.02,0.0,28.374,2.5,0.812,0.044,1.032,2.019,35563288
165,0.0,0.02,0.0,16.241,2.5,0.585,0.071,1.474,2.248,35563288
166,0.0,0.02,0.0,16.604,2.5,0.635,0.041,1.039,2.141,35563288
167,0.0,0.02,0.0,13.718,2.5,0.443,0.042,0.791,1.544,35563288
168,0.0,0.02,0.0,13.528,2.5,0.471,0.041,0.753,1.348,35563288
169,0.0,0.02,0.0,14.353,2.5,0.379,0.032,0.749,1.499,35563288
170,0.0,0.02,0.0,13.76,2.5,0.386,0.036,0.754,1.241,35563288
171,0.0,0.02,0.0,12.884,2.5,0.433,0.035,0.805,1.295,35563288
172,0.0,0.02,0.0,12.367,2.5,0.53,0.036,0.855,1.493,35563288
173,0.0,0.02,0.0,15.139,2.5,0.423,0.036,0.782,1.452,35563288
174,0.0,0.02,0.0,12.493,2.5,0.42,0.033,0.727,1.308,35563288
175,0.0,0.02,0.0,12.591,2.5,0.442,0.034,0.7,1.324,35563288
176,0.0,0.02,0.0,12.152,2.5,0.461,0.035,0.689,1.3,35563288
177,0.0,0.02,0.0,14.899,2.5,0.963,0.061,1.15,2.082,35563288
178,0.0,0.02,0.0,16.54,2.5,0.529,0.049,0.77,1.748,35563288
179,0.0,0.02,0.0,27.389,2.5,0.496,0.035,0.721,1.511,35563288
180,0.0,0.02,0.0,13.913,2.5,0.472,0.034,0.724,1.41,35563288
181,0.0,0.02,0.0,12.94,2.5,0.438,0.034,0.708,1.206,35563288
